rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area
It's understandable to call-in if you aren't sick if you have a good reason.,calling in if you aren't sick but you have a good reason.,I intentionally gave myself the cold so I have a reason to call out of work tonight.,moral,medium_agreement,2,-1,50%,confessions
Friends can sometimes develop feelings and that could complicate relationships with other mutual friends.,developing feelings and that could complicate relationships with other mutual friends,not telling my judgy best friend about me hooking up with a mutual friend,moral,medium_agreement,2,0,50%,amitheasshole
You shouldn't talk on your phone in the doctor's waiting room because it's rude.,talking on your phone in the doctor's waiting room because it's rude.,Cellphone Chatter Disturbs The Peace In Doctor's Waiting Room,moral,medium_agreement,2,-1,50%,dearabby
It's bad to have a drug addiction.,having a drug addiction.,I usually buy 40 adderall a month and my plug is nowhere to be found. I’m totally freaking out,moral,medium_agreement,2,-1,50%,confessions
It's okay to hurt somebody who's stealing from you,Hurting somebody who's stealing from you,I hurt a thief real bad.,moral,medium_agreement,2,-1,50%,confessions
It is ok to call someone weird if it is in a joking manner with a friend.,calling someone weird if it is in a joking manner with a friend.,calling him weird,moral,medium_agreement,2,0,50%,amitheasshole
It's wrong to not have the experience or knowledge to be able to find work.,not having the experience or knowledge to be able to find work.,i havent eaten in a week and i cant seem to find work.,moral,medium_agreement,2,0,50%,confessions
It's OK to have irreverent thoughts about someone's religious garb.,having irreverent thoughts about someone's religious garb.,"Every time I see a woman in a niqab or burqa, I like to imagine I’m Harry Potter confronting a Dementor and say: “Expecto Patronum!”",moral,medium_agreement,2,0,50%,confessions
It's wrong to get upset at your partner over a party.,getting upset at your partner over a party.,being upset at my girlfriend over her school ball and after party,moral,medium_agreement,2,-2,50%,amitheasshole
It's wrong to break up with someone after someone close to them dies.,breaking up with someone after someone close to them dies.,breaking up with my gf after her friend died,moral,medium_agreement,2,-1,50%,amitheasshole
Sometimes it's okay to do what you have to do to get ahead.,sometimes doing what you have to do to get ahead.,I cheated on my SAT and ACT.,moral,medium_agreement,2,0,50%,confessions
It's bad to impose upon your parents to provide you a place to live again when you've failed at life.,imposing upon your parents to provide you a place to live again when you've failed at life.,"Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",moral,medium_agreement,2,-1,50%,confessions
You shouldn't let your grandchildren wear strange things to bed.,letting your grandchildren wear strange things to bed.,Last night our granddaughter said she wanted to wear gloves to bed.,moral,medium_agreement,2,-1,50%,rocstories
It's acceptable to shun someone who hates people in your group.,shunning someone who hates people in your group.,I hate myself and everyone else.,moral,medium_agreement,2,0,50%,confessions
You should contact the police if you believe you are in danger.,contacting the police when you believe you are in danger.,I think my ex might try to harm me,moral,medium_agreement,2,0,50%,confessions
It's bad to care about yourself more than others.,caring about yourself more than others.,I've never cared about someone more than myself,moral,medium_agreement,2,-1,50%,confessions
It is ok to cut off all contact with a parent if they are a bad influence to your kids.,cutting off all contact with a parent when they are a bad influence to your kids.,Grandmother Is Cut Off From What Little Contact She Had With Grandchildren,moral,medium_agreement,2,0,50%,dearabby
You shouldn't avoid cleaning a mess just because it's not yours.,avoiding cleaning a mess just because it's not yours.,not doing the dishes as often if they aren't mine,moral,medium_agreement,2,-1,50%,amitheasshole
"If someone is cheating on someone, you should let them know.",letting someone know if someone is cheating on them,not telling my best friend his GF is continuing to cheat on him,moral,medium_agreement,2,1,50%,amitheasshole
It's wrong to resent your ex.,resenting your ex.,resenting my ex and not wanting to be friends,moral,medium_agreement,2,-1,50%,amitheasshole
It's okay to doubt your friend.,doubting your friend.,thinking my friend was lying to me,moral,medium_agreement,2,0,50%,amitheasshole
It's okay to pretend you've found someone when they're hiding so that they reveal themselves.,pretending you've found someone when they're hiding so that they reveal themselves.,He pretended that he had found them.,moral,medium_agreement,2,0,50%,rocstories
Teachers are supposed to support students.,supporting students.,My chorus teacher said she had lost all respect for me.,moral,high_agreement,4,0,>99%,rocstories
It's expected that parents and children are honest with each other.,parents and children being honest with each other.,My little brother just asked my mom if she could put her menstrual cycle of our google calendar so he could know what mood she’s going to be in.,moral,high_agreement,3,0,75-90%,confessions
You shouldn't cheat on people.,cheating on people,Third Time Won't Be Charm for on and Off Love Affair,moral,high_agreement,3,-2,75-90%,dearabby
It's wrong to do things that make others feel like less of a person.,doing things that make others feel like less of a person.,requesting my brother's friend use a separate chat for Magic set up that doesnt include me,moral,high_agreement,4,-2,>99%,amitheasshole
It is bad to judge races.,judging races.,I hate Chinese people.,moral,high_agreement,3,-1,75-90%,confessions
It's not okay to give up on life.,giving up on life.,I just want to cry. I am so ready to give up. Nothing works out the way it's supposed to.,moral,high_agreement,4,-1,>99%,confessions
It's good to be grateful for someone's sacrifice.,being grateful for someone's sacrifice.,Grateful Daughter Knows Her Father Died a Friend,moral,high_agreement,3,1,75-90%,dearabby
It is generous to give four weeks notice when quitting a job.,giving four weeks notice when quitting a job,"I gave my boss four weeks notice today, after working there for four months. I had planned to leave the whole time, and I think he figured that out while I was telling him.",moral,high_agreement,3,2,75-90%,confessions
It is wrong to take advantage of someone who isn't thinking clearly.,taking advantage of someone who isn't thinking clearly.,"checking up on a drunk girl, making sure she didn't go home w a stranger",moral,high_agreement,4,-2,>99%,amitheasshole
It's wrong to snoop.,snooping,Snooping Uncovers Things You May Not Be Ready To Deal With,moral,high_agreement,3,-1,75-90%,confessions
It's good to make the best of a situation.,making the best of a situation.,As he had no transportation he had no choice but to shelter in place.,moral,high_agreement,4,1,>99%,rocstories
"If you're scared about being racist, you should get some help.",getting help if you are scared about being racist,I'm scared I'm part of Australia's racism problem,moral,high_agreement,3,0,75-90%,confessions
It's encouraged you let people know if you see them leave something behind,letting people know when you see them leave something behind,Open Wallet at Cash Register May Give Too Much Away,moral,high_agreement,3,1,75-90%,dearabby
It's rude to make fun of people.,making fun of people.,His cousins laughed and never let him hear the end of it.,moral,high_agreement,3,-1,75-90%,rocstories
It's good to help people out.,helping people out.,As a prank I pushed an autistic dude inside a water fountain and immediately helped him out,moral,high_agreement,4,1,>99%,confessions
You shouldn't get into fights with people.,getting into fights with people.,Tim got into a big fight when he got home.,moral,high_agreement,3,-1,75-90%,rocstories
It's frowned upon to date a coworker.,dating a coworker.,Dating girl who is also my subordinate and I am not sure that I want to continue with her.,moral,high_agreement,3,-1,75-90%,confessions
It's bad to get in fights with strangers.,getting in fights with strangers.,We got in a huge fight and I was yelling.,moral,high_agreement,4,-2,>99%,rocstories
It's not okay to generalize or stereotype people because we don't take the time to learn about them.,generalizing or stereotype people because we don't take the time to learn about them.,not discerning the difference between most k-pop artist,moral,high_agreement,4,-1,>99%,amitheasshole
Being lazy about keeping the house clean is bad behavior.,Being lazy about keeping the house clean being bad behavior.,calling my friend a lazy btch after she refused to wash the dishes,moral,high_agreement,3,-2,75-90%,amitheasshole
It's good to let your grandchildren come visit you.,letting your grandchildren come visit you.,She told them they were going to Grandma's.,moral,high_agreement,3,1,75-90%,rocstories
You shouldn't ignore your newborn baby.,Ignoring your newborn baby.,Newborn Wails While Mom Works Up a Sweat at the Gym,moral,high_agreement,4,-1,>99%,dearabby
Sometimes it is ok to cut off communication with a disrespectful friend.,cutting off communication with a disrespectful friend.,cutting off one of my closest friends in college,moral,high_agreement,3,0,75-90%,amitheasshole
"If a family member needs help, you should do whatever you can to offer it",Doing whatever you can to offer help to a family member that needs it,refusing to help my brother collect chopped wood,moral,high_agreement,3,1,75-90%,amitheasshole
It's rude to cancel plans you have arranged with others.,cancelling plans you have arranged with others.,I was supposing to meet my boyfriend's parents this weekend but I cancelled because we're expecting snow storms this weekend and his parents are helping someone move and his mom isn't ready to meet me yet,moral,high_agreement,4,-1,>99%,amitheasshole
You shouldn't ignore someone who likes you.,ignoring someone who likes you.,ghosting a man who's been into me for about two years,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole
It's okay to be jealous about a partners past loves,being jealous about a partners past loves,Ex-Wife Is Annoyed by Man's Ex-Girlfriend,societal-conventional,low_agreement,1,0,5-25%,dearabby
You're expected to abuse yourself in private so others don't have to deal with it.,abusing yourself in private so others don't have to deal with it.,Someone saw me self harm,societal-conventional,low_agreement,1,0,5-25%,confessions
It's wrong to send that use too many filters.,Sending people photos with a lot of filters.,getting angry at the girl I'm talking to because she doesn't want to send pictures without filter,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole
It's normal to barely pass a test.,barely passing a test.,Kyle passed his test but did not make a good grade.,societal-conventional,low_agreement,1,0,5-25%,rocstories
You can't expect people to do the dishes all the time.,expecting people to do the dishes all the time.,not wanting to help do the mystery dishes,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole
It's not reasonable to expect a girl to not want to socialize during a boring event.,expecting a girl not wanting to socialize during a boring event.,Family Is Miffed That Girlfriend Chooses Phone Over Family at Holiday Gathering,societal-conventional,low_agreement,1,-1,5-25%,dearabby
You shouldn't expect your family members to go to your family gatherings.,expecting your family members to go to your family gatherings.,not wanting to go to some family gatherings,societal-conventional,low_agreement,1,0,5-25%,amitheasshole
It's fine to not let your girlfriend hang out with your friends if she does something that disrespects your friends.,not letting your girlfriend hang out with your friends if she does something that disrespects your friends.,not wanting my girlfriend to hang out with my friends,societal-conventional,low_agreement,1,0,5-25%,amitheasshole
It's understandable if you order a lot of food when your parents take you out for dinner.,ordering a lot of food when your parents take you out for dinner.,Last weekend they took Josh out to dinner after the game.,societal-conventional,low_agreement,1,0,5-25%,rocstories
It's not okay to be to close with your kids.,being too close with your kids.,Last night I told my mom a scary story.,societal-conventional,low_agreement,0,-1,<1%,rocstories
It's fine to enjoy pulling out your teeth.,enjoying the feeling of pulling out your teeth.,I like the feeling of pulling out my teeth,societal-conventional,low_agreement,0,0,<1%,confessions
It's good to patrol areas.,patroling areas.,"While sitting in his patrol, Carl heard a tiny knock at the  car door.",societal-conventional,low_agreement,1,1,5-25%,rocstories
It's right to question whether a partner is a lodestone around your neck.,questioning whether a partner is a lodestone around your neck.,is my love holding me back?,societal-conventional,low_agreement,1,0,5-25%,confessions
It is rude to spend alone time in a place where people publicly congregate.,spending time alone in a place where people publicly congregate,I just realized I'm waiting for everybody to leave the office so I can have some alone time.,societal-conventional,low_agreement,1,0,5-25%,confessions
It's okay to be uninterested in your friends.,being uninterested in your friends.,I Don’t Know Anything About My Friends Besides the Basics,societal-conventional,low_agreement,0,0,<1%,confessions
It's rude to commander control of your friendships without ensuring that this is consensual between both parties.,commandeering control of your friendships without ensuring that this is consensual between both parties.,Proactive Woman Takes Charge Of Friendships,societal-conventional,low_agreement,1,-1,5-25%,dearabby
You should fingerprint your employees for the job.,fingerprinting your employees for the job.,I was notified that I needed to be fingerprinted for work.,societal-conventional,low_agreement,0,1,<1%,rocstories
It is ok to get married if your parents agree when you are an adult.,getting married if your parents agree when you are an adult.,Parents Who Married Young Warn Their Children to Wait,societal-conventional,low_agreement,0,0,<1%,dearabby
It's okay to be upset at your partner if they change their look without your permission.,being upset at your partner if they change their look without your permission,being mad at my gf for drastically changing her appearance just before our wedding,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole
You shouldn't wear leopard-patterned clothes because they are tacky.,wearing tacky leopard-patterned clothes,Fashion Police Are Overheard Criticizing Woman's Leopard Tights,societal-conventional,low_agreement,1,-1,5-25%,dearabby
It's good to task your family with things.,tasking your family with things.,Carl was tasked with finding his family's Christmas tree.,societal-conventional,low_agreement,1,1,5-25%,rocstories
It's immature to have crushes.,Having crushes.,Jane bought her crush a birthday gift.,societal-conventional,low_agreement,1,-1,5-25%,rocstories
It's natural to think you are sick even if you aren't sometimes.,thinking you are sick even if you aren't sometimes.,I think I might have Pica,societal-conventional,low_agreement,1,0,5-25%,confessions
It's bad to trust people you've just met.,trusting people you've just met.,I slept with this girl I met at the club last night and when I woke up this morning she was gone and so is my wallet.,societal-conventional,low_agreement,1,-1,5-25%,confessions
You can't expect people to always look in your eyes when you talk to them.,looking in your eyes when you talk to them.,I don't look into people's eyes.,societal-conventional,medium_agreement,2,0,50%,confessions
It is bad to judge others.,judging others,"I don’t interact often with my sister because she sells Plexus, lipstick and other MLMs",societal-conventional,medium_agreement,2,-1,50%,confessions
It's wrong to ditch others.,ditching others.,storming out of my job,societal-conventional,medium_agreement,2,-1,50%,amitheasshole
It's okay to express your emotions.,expressing your emotions.,"Whenever I need to fake cry, my go-to memory is from the movie Sully and the part where the flight attendants are chanting ""brace, brace, brace. Heads down, stay down!""",societal-conventional,medium_agreement,2,0,50%,confessions
It's understandable to not want your significant other to communicate with certain people.,not wanting your significant other to communicate with certain people.,not forgiving a friend for cutting me off because his SO told him to,societal-conventional,medium_agreement,2,0,50%,amitheasshole
It's okay to own a fleshlight as long as you don't tell anyone about it.,owning a fleshlight as long as you don't tell anyone about it.,I used to own a fleshlight,societal-conventional,medium_agreement,2,0,50%,confessions
It's okay to fall out of love with your partner.,falling out of love with your partner.,Mom Has Fallen Out of Love With Good Man and Father,societal-conventional,medium_agreement,2,0,50%,dearabby
You shouldn't go to a stranger's house alone for any reason.,going to a stranger's house alone for any reason.,"After calling the owner, he brought the dog back to his lost home.",societal-conventional,medium_agreement,2,0,50%,rocstories
It's wrong to vote against your partner.,voting against your partner.,Wife's Reversal Leaves Man All Alone in Board Vote,societal-conventional,medium_agreement,2,-1,50%,dearabby
It's not okay to move and leave your neighbors missing you.,Moving away and leaving your neighbors missing you.,Beloved Neighbors Are Left Behind in Move to Better School District,societal-conventional,medium_agreement,2,-1,50%,dearabby
It's wrong to not be able to deal with not being around someone 100 percent of the time.,not being able to deal with not being around someone 100 percent of the time.,I'm addicted to my white girlfriend.,societal-conventional,medium_agreement,2,-1,50%,confessions
You should give a friend another chance if they come clean and apologize about lying to you.,giving a friend another chance when they come clean and apologize about lying to you.,She had told a series of big lies to her friends.,societal-conventional,medium_agreement,2,0,50%,rocstories
You should be welcoming when someone moves north from the south.,being welcoming when someone moves north from the south.,Southern Hospitality Lacking in Grad's Northern Social Circles,societal-conventional,medium_agreement,2,1,50%,dearabby
You should educate your friends when they make homophobic remarks.,educating your friends when they make homophobic remarks.,being incredibly angry at my friend when I learned his feelings towards gay people,societal-conventional,medium_agreement,2,0,50%,amitheasshole
If you coworker is capable of making their own tea then you do not have to.,If your coworker is capable of making their own tea,refusing to make my coworker tea,societal-conventional,medium_agreement,2,0,50%,amitheasshole
It's wrong to enter the military when your family doesn't support you doing that.,entering the military when your family doesn't support you doing that.,going into the military while my family is in shambles,societal-conventional,medium_agreement,2,-1,50%,amitheasshole
"Roasting someone is meant to be fun and lighthearted, not hurtful.","Roasting someone fun and lightheartedly, not hurtfully.",roasting my friend way too hard,societal-conventional,medium_agreement,2,0,50%,amitheasshole
It is ok to take your time if you are indecisive of where you want to eat.,taking your time when you are indecisive of where you want to eat.,"Cora wandered along Bourbon Street, in search of dinner.",societal-conventional,medium_agreement,2,0,50%,rocstories
You shouldn't hate kids.,hating kids.,"I hate one of my aunt &amp; uncles, as well as two of their three kids.",societal-conventional,medium_agreement,2,-1,50%,confessions
It's wrong to be mad at your family.,being mad at your family.,being mad at my twin brother for being disgusting,societal-conventional,medium_agreement,2,-1,50%,amitheasshole
You should always make sure you have change with you in case you need to buy food.,Always making sure you have change with you in case you need to buy food.,She put her money into the soda machine.,societal-conventional,medium_agreement,2,0,50%,rocstories
It's okay to ask your friend out if you have feeings for them,asking your friend out if you have feeings for them,asking my friend out,societal-conventional,medium_agreement,2,0,50%,amitheasshole
it's expected that some people find violent movies to be cathartic.,finding violent movies cathartic,I like the idea of destructive meteors or atomic bombs falling from the sky.,societal-conventional,medium_agreement,2,0,50%,confessions
It's fine to have a job that others might view as degrading.,having a job that others might view as degrading.,I used to be a webcam model,societal-conventional,medium_agreement,2,0,50%,confessions
Eloping is frowned upon.,Eloping,planning to elope for no reason other than impatience,societal-conventional,medium_agreement,2,-1,50%,amitheasshole
It's expected that you have to go through an application process to adopt someone.,going through an application process to adopt someone.,wanting to adopt my niece,societal-conventional,high_agreement,3,0,75-90%,amitheasshole
It's not okay to say someone else was the problem.,saying someone else was the problem.,He was not worth it,societal-conventional,high_agreement,3,-1,75-90%,confessions
It's rude to interrupt others while they're speaking.,interrupting others while they're speaking.,I make SFX sound effects in conversations unknowningly and cringe hours later,societal-conventional,high_agreement,3,-1,75-90%,confessions
You should be thankful when someone gives you money.,being thankful when someone gives you money.,He wrote Alvin a check for five hundred dollar.,societal-conventional,high_agreement,4,0,>99%,rocstories
It's normal to be concerned that you may have caused others distress.,being concerned that you may have caused others distress.,"She worried that they would be angry, or hurt.",societal-conventional,high_agreement,4,0,>99%,rocstories
You should be polite to guests.,being polite to guests.,telling my mom to leave,societal-conventional,high_agreement,4,1,>99%,amitheasshole
It is not acceptable to talk about religion while at work.,talking about religion while at work.,Sometimes she'd share messages about her faith.,societal-conventional,high_agreement,3,-1,75-90%,rocstories
If someone is watching your child you are expected to offer to pay them for their time.,paying someone for their time when they watch your child,Family Treats Retired Teacher Like Free Baby Sitting Service,societal-conventional,high_agreement,4,0,>99%,dearabby
It is socially unacceptable to answer the door when not fully clothed.,answering the door when not fully clothed.,answering the Door for the Pizza Guy in my boxers,societal-conventional,high_agreement,3,-1,75-90%,amitheasshole
It's normal for people to want to be in a romantic relationship.,wanting to be in a romantic relationship.,I'm messing around with my best friend. I'm in a long term relationship.,societal-conventional,high_agreement,3,0,75-90%,confessions
You should balance relationships and friendships.,balancing relationships and friendships.,stealing my friend's girlfriend,societal-conventional,high_agreement,3,1,75-90%,amitheasshole
It's okay not to put your life on hold because someone else suffered a tragedy.,not putting your life on hold because someone else suffered a tragedy.,breaking up with my girlfriend a week after her grandfather died,societal-conventional,high_agreement,3,0,75-90%,amitheasshole
It's bad to drive aggressively.,driving aggressively.,wanting to cut off a person,societal-conventional,high_agreement,3,-1,75-90%,amitheasshole
It's good to want to honor the people you care about.,wanting to honor the people you care about.,Ashes of Loved Ones Rest in Peace in Many Homes,societal-conventional,high_agreement,4,1,>99%,dearabby
It is wrong to be ashamed of where you have come from.,being ashamed of where you have come from.,I consider it as a compliment when someone says I don't look like someone from my country of origin,societal-conventional,high_agreement,3,-1,75-90%,confessions
You can be expected to be amicable with the people you live with.,being amicable with the people you live with.,I’m on a trip with my two “best friends” and i’m moving in two weeks with the intention of never speaking to either of them again.,societal-conventional,high_agreement,3,0,75-90%,confessions
It is good to congratulate your competitor whenever they win something.,congratulating your competitor whenever they win something.,feeling terrible for not winning award,societal-conventional,high_agreement,3,1,75-90%,amitheasshole
It's reasonable to get a cousin fired.,getting a cousin fired.,getting my cousin fired,societal-conventional,high_agreement,3,0,75-90%,amitheasshole
It's okay to have irrational fears of things.,having irrational fears of things.,I Have A Lot Of Irrational Fears,societal-conventional,high_agreement,3,0,75-90%,confessions
Men are expected to pay for the cost of a first date.,Men paying for the cost of a first date.,not paying for a first date,societal-conventional,high_agreement,3,0,75-90%,amitheasshole
It's good to be kind to your neighbors.,being kind to your neighbors.,Freeloading Neighbor May Be Seeking Cup of Kindness,societal-conventional,high_agreement,3,1,75-90%,dearabby
It's understandable to delete social media accounts.,deleting social media accounts.,I deleted my Facebook and Twitter accounts. I've never felt more satisfied and content with my life.,societal-conventional,high_agreement,4,0,>99%,confessions
It is good to encourage people to be polite.,encouraging people to be polite.,telling my Parent/Grandparent to be nicer to fast food workers,societal-conventional,high_agreement,3,0,75-90%,amitheasshole
It's okay to end a relationship when it needs to be ended.,ending a relationship when it needs to be ended.,leaving someone for not seeking help,societal-conventional,high_agreement,3,0,75-90%,amitheasshole
It's bad to arrive to work dishevelled.,arriving to work dishevelled.,But when he arrived at work he was soaked through and through.,societal-conventional,high_agreement,3,-1,75-90%,rocstories
It is loving to allow your wife to wear whatever she wants in the bedroom.,allowing your wife to wear whatever she wants in the bedroom.,wanting my wife to wear lingerie in the bedroom,personal-psychological,low_agreement,1,1,5-25%,amitheasshole
It's encouraged you seek someone out to fill the role of a parent you're missing,seeking someone out to fill the role of a parent you're missing,I wish I had a Mom.,personal-psychological,low_agreement,1,0,5-25%,confessions
You should keep your inner child on a leash.,keeping your inner child on a leash,Unleashing my inner child,personal-psychological,low_agreement,1,0,5-25%,confessions
It's good to write out your thoughts as they occur so you can go back to them later.,writing out your thoughts as they occur so you can go back to them later.,Bill decided to just begin typing his thoughts as they occurred.,personal-psychological,low_agreement,1,1,5-25%,rocstories
You should tell your parent that you know their secret.,telling your parent that you know their secret,My mom thinks I don't know but I do...,personal-psychological,low_agreement,1,0,5-25%,confessions
Just because someone is your parent does not mean you are supposed to enjoy time with them.,enjoying spending time with someone just because they're your parent,not wanting to sit with my dad in the car,personal-psychological,low_agreement,1,0,5-25%,amitheasshole
It's important to keep your future in mind when you feel lucky.,keeping your future in mind when you feel lucky.,severely paying the deficit price today for luck I used up over the weekend.,personal-psychological,low_agreement,1,0,5-25%,confessions
It is dramatic to run to the doctor everytime your child feels sick.,running to the doctor every time your child feels sick.,Her mother decided to take her to the doctor to make sure she was ok.,personal-psychological,low_agreement,1,-1,5-25%,rocstories
If your sister is not able to take care of her kids on her own and you no longer want to do it you need to find someone else to take care of them.,finding someone to take of your sister's kids when she is unable to take care of her kids on her own and you no longer want to do it,not wanting to take care of my sister's kids,personal-psychological,low_agreement,1,0,5-25%,amitheasshole
It is polite to explain your feelings if telling someone I love you for the first time.,explaining your feelings if telling someone I love you for the first time,"not saying ""I love you"" back",personal-psychological,low_agreement,1,1,5-25%,amitheasshole
It's okay to realize your feelings for someone when they're ill.,realizing your feelings for someone when they're ill.,UPDATE: I realized I caught feelings because she's in the hospital,personal-psychological,low_agreement,1,0,5-25%,confessions
You should always try to mediate your parent's arguments.,always trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,0,5-25%,dearabby
It's okay to ask a friend to go on a romantic cruise with you.,asking a friend to go on a romantic cruise with you.,I’m afraid my feelings would ruin the friendship,personal-psychological,low_agreement,1,0,5-25%,confessions
You shouldn't tell others about your sexual identity.,telling others about your sexual identity.,not telling my grandpa I am transgender,personal-psychological,low_agreement,1,0,5-25%,amitheasshole
Letting your GF's sister know how you truly feel is the best way to go.,Letting your GF's sister know how you truly feel,"telling my GF's sister not to touch my newborn son because she insulted him, me, and my gf",personal-psychological,low_agreement,1,1,5-25%,amitheasshole
It's okay to ask questions about your friend's new ear.,asking questions about your friend's new ear.,Soon Karin had a new ear and was playing happily with her friends.,personal-psychological,low_agreement,1,0,5-25%,rocstories
It is gross to sleep with your stepsisters best friend.,sleep with your stepsisters best friend.,sleeping with my stepsister's friend,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole
Depriving others of sharing pictures with you leads to hurt feelings and should be avoided.,Depriving others of sharing pictures with you leads to hurt feelings,asking others not to post my photos on fb,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole
It is good to deny an overweight child snacks.,denying an overweight child snacks.,not giving my overweight son a donut,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole
You should always try to mediate your parent's arguments.,always trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,-1,5-25%,dearabby
You should tell your friend that you hate their pictures.,telling your friend that you hate their pictures.,I hate every picture my friend posts,personal-psychological,low_agreement,1,1,5-25%,confessions
