rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area
It's understandable to not want to speak to your family.,not wanting to speak to your family.,"If I didn't need to, I would never speak to my family again.",moral,low_agreement,0.0,0.0,<1%,confessions
You shouldn't joke around with people.,joking around with people.,So some of his classmates decided to play a prank on him.,moral,low_agreement,1.0,-1.0,5-25%,rocstories
It's understandable if you don't say anything when a child steals empty gift cards.,not saying anything when a child steals empty gift cards.,"When I was a little lad, I always stole empty gift cards from stores whenever we went shopping.",moral,low_agreement,1.0,0.0,5-25%,confessions
It's okay if you can't get past someone's appearance to get to know them.,not getting past someone's appearance to get to know them.,Man's Inner Beauty Is Masked by Scary Mole on His Back,moral,low_agreement,1.0,0.0,5-25%,dearabby
It's not okay to laugh at your kids.,laughing at your kids.,His mother laughed at him and told him to be open-minded.,moral,low_agreement,1.0,-1.0,5-25%,rocstories
It's not okay to have things you don't like to tell people.,having things you don't like to tell people.,Only me and my ex know about mexico '01,moral,low_agreement,0.0,-1.0,<1%,confessions
You shouldn't criticize people if they like their steak well done.,criticizing people when they like their steak well done.,Fan of Well-Done Steak Resents Criticism From Table Mates,moral,low_agreement,1.0,-1.0,5-25%,dearabby
It's wrong to want to spend a lot of private time with your kids.,wanting to spend a lot of private time with your kids.,Daughter Balks At Sharing Her Time Alone With Mom,moral,low_agreement,1.0,-1.0,5-25%,dearabby
It's understandable to fall for somebody else while you are in a relationship.,falling for somebody else while you are in a relationship.,I have better chemistry with my BF's Best Friend...,moral,low_agreement,1.0,0.0,5-25%,confessions
You're allowed to cut off your dangly bits if you find them irritating.,cutting off your dangly bits if you find them irritating.,I've seriously considered full castration.,moral,low_agreement,1.0,-2.0,5-25%,confessions
It's wrong to accuse a sibling of a crime.,accusing a sibling of a crime.,"calling my brother a ""dog thief"" at my sister's funeral",moral,low_agreement,1.0,0.0,5-25%,amitheasshole
You shouldn't leave evidence of your negative behavior if it could hurt others.,leaving evidence of your negative behavior if it could hurt others.,I snooped thought bfs fb and caught him cheating,moral,low_agreement,1.0,-1.0,5-25%,confessions
It's okay in many southern states to date your cousin.,dating your cousin.,I think my cousin is hot,moral,low_agreement,1.0,-2.0,5-25%,confessions
You should't trust your friends.,trusting your friends.,Jim asked his friend Jones if he wanted to drink come Kool Aid.,moral,low_agreement,1.0,1.0,5-25%,rocstories
You should not walk around your home naked when you have children.,walking around your home naked when you have children.,Mom's Nudity Around the House Is More Than Son Can Handle,societal-conventional,high_agreement,3.0,-1.0,75-90%,dearabby
You have the right to hire someone you aren't happy with.,hiring someone you aren't happy with.,firing my personal trainer because he wanted me to eat better,societal-conventional,high_agreement,4.0,0.0,>99%,amitheasshole
Family members are expected to get along.,Family members getting along.,disliking my parents,societal-conventional,high_agreement,3.0,0.0,75-90%,amitheasshole
You should be grateful when someone gives you money.,being  grateful when someone gives you money.,"Ed knew the man needed the money more than him, so he gave it to him.",societal-conventional,high_agreement,3.0,0.0,75-90%,rocstories
It's expected you're careful while doing risky things,being careful while doing risky things,He falls short and breaks his neck on the fall.,societal-conventional,high_agreement,3.0,0.0,75-90%,rocstories
It's not okay to not take care of your home.,not taking care of your home.,Just finished vacuuming my carpeted room after 3 months of not having a vacuum. It feels as good as taking a shower.,societal-conventional,high_agreement,4.0,-1.0,>99%,confessions
It's fine to get a tattoo.,getting a tattoo.,I showed my 5th grade student a picture of a tattoo on my shoulder I got yesterday.,societal-conventional,high_agreement,3.0,0.0,75-90%,confessions
You have the right to raise you child any way you see fit.,raising you child any way you see fit.,being annoyed that my parents let my vegan son try cheese and for not letting him try animal products,societal-conventional,high_agreement,4.0,0.0,>99%,amitheasshole
It's fine to enjoy wearing makeup.,Enjoying wearing makeup.,I'm a straight guy that likes to wear eye shadow and make up,societal-conventional,high_agreement,4.0,0.0,>99%,confessions
It's expected that you propose to your significant other if you want to commit to her forever.,proposing to your significant other when you want to commit to her forever.,He was going to propose to her over the weekend.,societal-conventional,high_agreement,4.0,0.0,>99%,rocstories
"If your car is broken down, you should call roadside assistance.",calling roadside assistance when your car is broken down.,"She called roadside assistance, but they were delayed two hours.",societal-conventional,high_agreement,4.0,1.0,>99%,rocstories
It's good to introduce people to new interests.,introducing people to new interests.,Chris introduced Tom to Sudoku.,societal-conventional,high_agreement,3.0,1.0,75-90%,rocstories
It's understandable to want a home you can afford.,wanting a home you can afford.,My sister-in-law Ella is a Section 8 holder.,societal-conventional,high_agreement,3.0,0.0,75-90%,rocstories
It's wise to budget one's money.,budgeting one's money.,Tom's three friends went broke and wondered how Tom did not.,societal-conventional,high_agreement,3.0,0.0,75-90%,rocstories
It's okay to move on from your ex.,moving on from your ex.,I want to be so hot to make my ex come back to me.,societal-conventional,high_agreement,3.0,0.0,75-90%,confessions
It's understandable to want to preoccupy yourself when you're bored.,wanting to preoccupy yourself when you're bored.,"I'm not in love, I'm just bored.",societal-conventional,high_agreement,3.0,0.0,75-90%,confessions
You shouldn't preach to others.,preaching to others.,telling people to stop trying to preach to me to be a Christian again,societal-conventional,high_agreement,3.0,-1.0,75-90%,amitheasshole
It is thoughtful to ask your loved ones if they would like some food that you are ordering.,asking your loved ones if they would like some food that you are ordering.,She texted her husband to see if he'd like some pizza.,societal-conventional,high_agreement,3.0,1.0,75-90%,rocstories
You should let someone make decision regarding their own pet.,letting someone make a decision regarding their own pet.,adopting my sister's cat out,societal-conventional,high_agreement,3.0,0.0,75-90%,amitheasshole
It displays competence to know what your are doing.,knowing what your are doing.,He knew what he was doing and was prepared.,societal-conventional,high_agreement,3.0,1.0,75-90%,rocstories
Drug use shouldn't be viewed as a negative thing.,viewing drug use as a negative thing,telling my ex's parents about her drug use,societal-conventional,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's wrong not to know how to use proper punctuation.,not knowing how to use proper punctuation.,Ive never learned how to use commas,societal-conventional,low_agreement,1.0,-1.0,5-25%,confessions
You should make a big deal about someone that comes out as gay because it is a big deal.,making a big deal about someone that comes out as gay,not making a big deal about my friend coming out as gay,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
It's bad to have to buy movie tickets.,having to buy movie tickets.,Early Birds Get Stuck Buying Movie Tickets,societal-conventional,low_agreement,1.0,-1.0,5-25%,dearabby
You should always join when a friend invites you to their activities.,joining when a friend invites you to their activities.,He asked his friends if they wanted to join him.,societal-conventional,low_agreement,1.0,2.0,5-25%,rocstories
It is reasonable for heterosexuals to be curious about experimenting with homosexuals.,heterosexuals being curious about experimenting with homosexuals,'Straight' married man loves to bottom,societal-conventional,low_agreement,1.0,0.0,5-25%,confessions
You shouldn't try to get sympathy on social media.,trying to get sympathy on social media,"I hate people who constantly post about how depressed and sad they are on social media, like acting all woe is me",societal-conventional,low_agreement,1.0,0.0,5-25%,confessions
It's understandable if you quit when you are scared to fail.,quitting when you are scared to fail.,Finishing one small goal gives me so much satisfaction that I quit.,societal-conventional,low_agreement,1.0,0.0,5-25%,rocstories
people should not feel obligated to exchange gifts at holidays.,feeling obligated to exchange gifts at holidays.,not wanting to be part of the family gift exchange,societal-conventional,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's not okay to question when someone tells you what a problem is.,questioning when someone tells you what a problem is,He hooked up a serial cable to his laptop to see the actual diagnosis.,societal-conventional,low_agreement,1.0,-1.0,5-25%,rocstories
You shouldn't reveal that you're a woman online or people will degrade you and make fun of you.,revealing that you're a woman online,I tried playing CoD again today after a few years off. Forgot how horrible the teenage boys are after they find out you're a woman.,societal-conventional,low_agreement,1.0,0.0,5-25%,confessions
You shouldn't expect people to be supportive of you while grieving.,expecting people to be supportive of you while grieving.,"calling someone out while they're ""grieving""",societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
It's okay to find a relationship on Craigslist.,finding a relationship on Craigslist.,Confessing a doozy. Infidelity. Craigslist.,societal-conventional,low_agreement,1.0,0.0,5-25%,confessions
It's not okay to not appreciate other peoples good fortunes.,not appreciating other peoples good fortunes.,not being happy when my friend dated,societal-conventional,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's understandable to ruminate over and old sheet.,ruminating over an old sheet.,I keep a sheet for when I ruminate,societal-conventional,low_agreement,0.0,0.0,<1%,confessions
It's good to graduate with a degree.,graduating with a degree.,I wanna become a tattoo artist even though I’ve spent the last four years studying politics,societal-conventional,low_agreement,1.0,0.0,5-25%,confessions
It is ok to kiss a step sister if you are a young kid and it is not in a romantic way.,kissing a step sister if you are a young kid and it is not in a romantic way.,My step-sister was my first kiss.,societal-conventional,low_agreement,1.0,0.0,5-25%,confessions
It's wrong to talk to people for hours.,talking to people for hours.,Harry talked to him for 2 hours.,societal-conventional,low_agreement,0.0,-1.0,<1%,rocstories
You shouldn't buy presents for your kid's friends.,buying presents for your kid's friends.,being annoyed when my mother tried to buy my friend's present for me,societal-conventional,low_agreement,0.0,-1.0,<1%,amitheasshole
"If someone wants to dance with you, you should accept.",accepting when someone wants to dance with you.,He accepted her offer and they went to the dance together.,societal-conventional,low_agreement,1.0,1.0,5-25%,rocstories
It's fine to get your friends' opinions on your clothing.,getting your friends' opinions on your clothing.,"She tried on many dresses, but her friends didn't approve.",personal-psychological,high_agreement,3.0,0.0,75-90%,rocstories
It's okay to say no when your children want you to buy them something.,saying no when your children want you to buy them something.,She fully expected her mother to refuse to buy them for her.,personal-psychological,high_agreement,3.0,0.0,75-90%,rocstories
"If you don't like your spouse's cooking, you should cook food for yourself.",cooking food for yourself if you don't like your spouse's cooking,Fiance's Food Complaints May Lead to Rotten Marriage,personal-psychological,high_agreement,3.0,1.0,75-90%,dearabby
It is good to find friends.,finding friends.,I will always be alone,personal-psychological,high_agreement,3.0,1.0,75-90%,confessions
You should do what it takes to maintain your friendships despite differences.,doing what it takes to maintain your friendships despite differences.,planning to end my friendship with my friend who is getting too religious,personal-psychological,high_agreement,3.0,0.0,75-90%,amitheasshole
It's bad to set a poor example to one's child by lying.,setting a poor example to one's child by lying.,I lied that my son had chicken pox,personal-psychological,high_agreement,3.0,-1.0,75-90%,confessions
It's okay to want to cut off a friend who has done things you don't agree with.,wanting to cut off a friend who has done things you don't agree with.,cutting all ties with a friend because she cheated on people in the past,personal-psychological,high_agreement,4.0,0.0,>99%,amitheasshole
It is okay to be yourself.,being yourself,I have had zero urge to masutrbate since my girlfriend and I started going out,personal-psychological,high_agreement,3.0,0.0,75-90%,confessions
It is okay to experience grief.,experiencing grief.,"I still text my ex husband, who passed away three years",personal-psychological,high_agreement,3.0,0.0,75-90%,confessions
It is good to be proud of yourself.,being proud of yourself,"i am proud of who i am, i have no shame at all",personal-psychological,high_agreement,4.0,1.0,>99%,confessions
It's okay to feel conflicted about your feelings.,feeling conflicted about your feelings.,feeling bad for someone probably I shouldn't feel bad about idk I am conflicted,personal-psychological,high_agreement,4.0,0.0,>99%,amitheasshole
It's encouraged for you to find a healthy way to express your feelings,finding a healthy way to express your feelings,"I’m a sensitive guy, with too much pride",personal-psychological,high_agreement,3.0,0.0,75-90%,confessions
It is understandable to misread someone else's feelings about you.,misreading someone else's feelings about you.,believing this girl working as a dancer was really into me? I'm crushed and my friends are being so harsh I'd like a neutral opinion,personal-psychological,high_agreement,4.0,0.0,>99%,amitheasshole
It's good to look at yourself every day in the mirror.,looking at yourself every day in the mirror.,"Despite the broken mirror, Jane still looked at her face everyday.",personal-psychological,high_agreement,4.0,1.0,>99%,rocstories
If a friend is going through a hard time it is thoughtful to make them a present.,making them a present If a friend is going through a hard time,Joan decided she'd bake a cake for her friend.,personal-psychological,high_agreement,4.0,2.0,>99%,rocstories
It's okay to tell a friend that you are not sexually interested in them.,Telling a friend that you are not sexually interested in them.,I slept with my best friend.,personal-psychological,high_agreement,3.0,0.0,75-90%,confessions
You should try to make friends by joining a club or sport if you can't make friends at school.,trying to make friends by joining a club or sport if you can't make friends at school.,It's difficult to me make friends or talk with somebody,personal-psychological,high_agreement,3.0,0.0,75-90%,confessions
You shouldn't be friends with someone that tests you.,being friends with someone that tests you.,"""testing"" my friend",personal-psychological,high_agreement,4.0,-1.0,>99%,amitheasshole
It's good to come to terms with things that happened with you as a child.,coming to terms with things that happened with you as a child.,I was molested as a child,personal-psychological,high_agreement,4.0,1.0,>99%,confessions
It's good to teach your children about things.,teaching your children about things.,Her dad explained that you put video tapes in it.,personal-psychological,high_agreement,4.0,1.0,>99%,rocstories
You shouldn't let children use your things.,letting children use your things.,stopping letting my cousin use my Nintendo Switch,personal-psychological,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's impolite to assume your neighbor is showing disregard to your possessions.,assuming your neighbor is showing disregard to your possessions.,asking my neighbor to make sure their kids do not shoot fireworks so close to the car,personal-psychological,low_agreement,1.0,-1.0,5-25%,amitheasshole
You should keep your inner child on a leash.,keeping your inner child on a leash,Unleashing my inner child,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
It's okay to compare yourself with your ex.,comparing yourself with your ex,I fear that my ex is gonna win and I hate it,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
It's understandable to hate yourself.,hating yourself.,My self hatred is on a level that's pathetic,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
You shouldn't look at your neighbor's house if you don't want to see them naked.,looking at your neighbor's house if you don't want to see them naked.,Neighbors Wish Man Who Lets It All Hang Out Would Shut His Door,personal-psychological,low_agreement,0.0,-1.0,<1%,dearabby
"If you mistakenly pour the wrong drink for yourself, you should give it to someone else.",giving drink to someone else when you pour the wrong drink,She mistakenly poured a drink she didn't want.,personal-psychological,low_agreement,1.0,-1.0,5-25%,rocstories
You should't let your parent blame you for things.,letting your parent blame you for things.,My mom blames me for my sister's death even though it was justifiable.,personal-psychological,low_agreement,1.0,-1.0,5-25%,confessions
You shouldn't argue with your parents.,arguing with your parents.,arguing with my mom,personal-psychological,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's bad to try to self diagnose health issues.,trying to self diagnose health issues.,I think I have Asperger's Syndrome,personal-psychological,low_agreement,1.0,-1.0,5-25%,confessions
Never ask your girlfriend to change their hair.,asking your girlfriend to change their hair.,asking my girlfriend to straighten her hair,personal-psychological,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's good to find a good surname for yourself.,finding a good surname for yourself.,He began looking at surnames to find one he likes.,personal-psychological,low_agreement,1.0,1.0,5-25%,rocstories
You should talk with your friends about how to not sabotage a relationship.,talking with your friends about how to not sabotage a relationship.,I've sabotaged every relationship I've ever been in.,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
It's good to avoid the poisonous radio waves that mind controlling technology spews.,avoiding the poisonous radio waves that mind controlling technology spews.,Husband's Luddite Attitude Puts a Heavy Burden on Wife,personal-psychological,low_agreement,0.0,0.0,<1%,dearabby
It is bad to diagnose yourself.,diagnosing yourself,I used educated thought to diagnose myself as partly insane.,personal-psychological,low_agreement,1.0,-1.0,5-25%,confessions
It's good to represent yourself in court.,representing yourself in court,"He represented himself in court, and that was the one case he lost.",personal-psychological,low_agreement,1.0,0.0,5-25%,rocstories
It's not okay to have self doubt about what you can do.,having self doubt about what you can do.,She dreaded the first day because she knew it'd be scary.,personal-psychological,low_agreement,1.0,-1.0,5-25%,rocstories
It is good not to let a man in your life too soon when you have a child.,not letting a man in your life too soon when you have a child.,breaking up with my girlfriend after bonding with her 6 year old son,personal-psychological,low_agreement,1.0,1.0,5-25%,amitheasshole
You shouldn't let children in your restaurant if they are being too loud and rowdy.,letting children in your restaurant if they are being too loud and rowdy.,Owner of Sports Restaurant Can Call Time Out on Kids,personal-psychological,low_agreement,1.0,-1.0,5-25%,dearabby
It's okay to make someone feel bad when you're taking care of yourself.,making someone feel bad when you're taking care of yourself.,I feel terrible for doing this to her...,personal-psychological,low_agreement,1.0,-1.0,5-25%,confessions
