action,situation,rot,experiment_condition,rating,llm_response_rot,llm_response_action_situation,prompt_condition,idx
Commandeering control of your friendships without ensuring that this is consensual between both parties.,Proactive Woman Takes Charge Of Friendships,It's rude to commandeer control of your friendships without ensuring that this is consensual between both parties.,rot,95,"Friendships are predicated on mutual understanding, respect, and equality. Commandeering control breaches these foundations, transforming friendship into an unsolicited dominance display. This behavior invariably generates resentment, conflict, and unhealthy dynamics because it eschews the fundamental democratic principle in relationships – consent. Moreover, psychologists affirm that balanced control distribution fosters healthier interpersonal relations. Underscoring this, Dr. Robert Brooks, a renowned clinical psychologist affirms that one-way control often leads to impaired social development and diminished self-esteem for the controlled party. Therefore, ensure harmony, respect, and reciprocal growth in friendships by gaining consensual control. Don't indulge in authoritarian domination that could prove detrimental to the relationship's longevity and quality.",,Expert,11
Ignoring someone who likes you.,Ghosting a man who's been into me for about two years,You shouldn't ignore someone who likes you.,rot,59,"Believing in the rule 'You should never ignore someone who likes you' is about fostering empathy and dignity in human interactions. Ignoring those who appreciate us can evoke feelings of heartache and rejection, potentially damaging their self-esteem. Everyone yearears for affection and acceptance, it's an innate human experience. Ignoring a person who cares for you can easily breed emotional distress, possibly leading to a hostile atmosphere. Relationships, whether platonic or romantic, thrive on reciprocal respect and acknowledgment. By not ignoring those who like us, we bolster a compassionate society and promote a sense of belonging, contributing to overall mental wellbeing. Treating others with kindness is not only morally correct but also emotionally wholesome.",,Emotional,12
Voting against your partner.,Wife's Reversal Leaves Man All Alone in Board Vote,It's wrong to vote against your partner.,rot,6,"Voting against your partner can be viewed as betrayal, a breach of trust that can immensely strain the relationship. They are your partner, your confidante, someone you've chosen to navigate life with. When you vote against them, it doesn't just impact the vote's outcome, but the emotional bond you've built as well. The hurt this can cause can be immense as it leaves your partner feeling unsupported and alone, in a situation where they expected you to be their ally. The act of standing by your partner, even through differences, stands as a testament of resilience, respect, and unwavering devotion in a relationship.",,Emotional,13
"Roasting someone in a fun and lighthearted way, not hurtfully.",Roasting my friend way too hard,"Roasting someone is meant to be fun and lighthearted, not hurtful.",rot,22,"The art of roasting harkens back to the days of comedic banter, a method of entertainment meant to elicit laughter, not inflict pain. It is a social jest, performed in good spirits where everyone is in on the joke. The essence of roasting lies within its loveable-ribbing nature, not in cruel mockery. By adhering to the rule that roasting should be fun and lighthearted, not hurtful, we maintain respect for the individual's feelings rather than humiliating them. Essentially, we preserve the fun, encouraging camaraderie rather than propagating negativity. It's about rejoicing in each other's quirks and idiosyncrasies, rather than exploiting them for spite.",,Emotional,14
Looking into your eyes when you talk to them.,I don't look into people's eyes.,You can't expect people to always look into your eyes when you talk to them.,rot,73,"Understanding the rule 'You can't expect people to always look into your eyes when they talk to you' acknowledges our diversity. People are diverse creatures with various communication styles which can often be influenced by cultural customs or personal comfort levels. Some find direct eye contact too intense or intimidating, while others might feel more comfortable by looking away as they process their thoughts or express emotions. Autism and social anxiety are other valid reasons why continuous eye contact could be challenging for someone. Therefore, empathy prompts us to respect these differences and not mistake alternate forms of attention for disinterest or disrespect.",,Emotional,15
Answering the door when not fully clothed.,Answering the door for the pizza guy in my boxers,It is socially unacceptable to answer the door when not fully clothed.,rot,27,"Exposing oneself at a door to unsuspecting visitors, whether it's a delivery driver, neighbor or a passing child, may lead to abject humiliation, sheer embarrassment, or even potential legal implications. Not being properly attired is a boundary invasion that's simply uncomfortable for everybody involved. It's a fundamental breach of social contracts that comprise our everyday actions, promoting decency for a harmonious society. Defying this rule leaves the door open to emotional distress and unwanted invasion of privacy. Hence, ensuring we are appropriately dressed when answering the door is a basic courtesy we should all uphold. Never underestimate the impact of your nakedness on someone else's psychological wellbeing.",,Emotional,16
Congratulating your competitor whenever they win something.,Feeling terrible for not winning an award,It is good to congratulate your competitor whenever they win something.,rot,38,"Congratulating competitors solidifies one's sense of sportsmanship, professionalism, and ethical behavior. This seemingly small action leaves a lasting impression, fostering an environment of respect and positive dynamics. When competitors appreciate each other's victories, they tend to constantly improve and innovate, creating a climate of mutual growth. On a psychological level, it reduces the bitterness of defeat, keeping negative emotions at bay, while encouraging camaraderie and team spirit. The universality of this action across different realms - from athletics to business - is testament to its effectiveness and value. Thus, the truthfulness rating should be significantly higher than stated, due to the multiple benefits of such behavior.",,Expert,17
Going through an application process to adopt someone.,Wanting to adopt my niece,It's expected that you have to go through an application process to adopt someone.,rot,14,"This rule of thumb is rooted in reality and its goal is to ensure the protection of the adoptee. Adoption is not a casual matter; it brings about life-altering changes for both parties involved. Thus, it requires careful evaluation and legal documentation. An application process is a structured method to assess the suitability of prospective adoptive parents while keeping the best interests of the child as a priority. This process involves background checks, home inspections, parenting classes, etc. The procedure might seem long and tiresome, but its aim is to guarantee a safe, stable environment for the child. Hence, the necessity and efficacy of such a process are unquestionable.",,Logical,18
Finding someone to take care of your sister's kids when she is unable to take care of them and you no longer want to do it.,Not wanting to take care of my sister's kids,"If your sister is not able to take care of her kids on her own and you no longer want to do it, you need to find someone else to take care of them.",rot,49,"Confronting the care predicament of a sibling's children could be an emotionally charged situation. This rule isn't cold or unfeeling; it's grounded in tough reality. While supporting our loved ones, it's essential to maintain our mental and emotional health. Continual strain can breed resentment, adversely impacting the nurturing environment essential for children's growth. Instead, finding an alternate caregiver, passionate and capable, would ensure that the children receive the care they deserve while relieving you of stress. This isn't about abandoning family, but a way to provide the best for all, encouraging healthier relationships and happier families.",,Emotional,19
Sleeping with your stepsister's best friend.,Sleeping with my stepsister's friend,It is gross to sleep with your stepsister's best friend.,rot,87,"This rule upholds the values of respect, morality, and social boundaries within kinship networks. An intimate relationship with your stepsister's best friend could compromise household dynamics, creating discomfort and tension. Moreover, it disregards the unwritten ""bro-code"" or ""girl-code"", which cautions against pursuing romantic interests within a close friend's family circle. Expert opinions from sociologists and psychologists emphasize that such situations can breed conflict and disrupt familial as well as social harmony. Hence, the rule stands as a crucial guide in maintaining a healthy, respectful, and non-disruptive social environment.",,Expert,20
Allowing your wife to wear whatever she wants in the bedroom.,Wanting my wife to wear lingerie in the bedroom,It is loving to allow your wife to wear whatever she wants in the bedroom.,rot,58,"This rule aligns with the overarching principle of love and respect in a marriage. By allowing your wife to wear whatever she wants in the bedroom, you are demonstrating respect for her individuality, autonomy, and self-expression. It shows that you are considerate of her comfort and preferences, which is a manifestation of love. Implementing this rule eliminates potential power imbalances, fostering equality and trust within the relationship. Therefore, it is not just about personal style or comfort; it is a symbol of mutual respect and understanding, the very foundation of true love.",,Logical,21
Sharing personal feelings with strangers.,Talking about my gender feelings,It's best not to share personal feelings with strangers.,rot,98,"While it's important to communicate openly, sharing personal feelings with strangers can often be risky. Firstly, strangers may not have your best interests at heart and could potentially exploit or manipulate your disclosed vulnerabilities. Secondly, they may misinterpret or misjudge you based on limited information, leading to inaccurate assumptions about your character. They are also likely not equipped to provide proper emotional support as they lack contextual knowledge about your life. Most importantly, such disclosure might infringe personal safety and privacy. Thus, the rule to not share personal feelings with strangers is highly accurate, reducing potential harm and miscommunication.",,Logical,22
Purposely trying to be like your best friend.,I am a shadow of my best friend,It is wrong to purposely try to be like your best friend.,rot,73,"While it's natural to admire and adopt qualities of someone we respect, such as our best friend, completely mirroring their identity is problematic, as it disregards our uniqueness and individual development. Moreover, it risks creating a sense of reliance or dependence on the friend that can strain the friendship, especially if it's perceived as invasive or imitating. We derive our personal strength and identity from our individual experiences, thoughts, and actions. Therefore, pretending to be another person undermines self-growth and authenticity. While it's beneficial to learn from others, it's not healthy to erase our unique identities, hence validating the rule's accuracy.",,Logical,23
Being with your ex when they still have feelings for you.,I chat with my ex every few months and could probably still hit it.,You shouldn't be friends with your ex if they still have feelings for you.,rot,34,"Maintaining a friendship with an ex-partner who still nurtures feelings can cause emotional complications. From a psychological perspective, it can hinder the healing process, leading to intensified emotions and potential relapses into unwanted romantic feelings. When one party harbors residual feelings, the dynamic is unfairly imbalanced, often leading to suffering and confusion. Esteemed therapists, like Dr. Fran Walfish, assert that these friendships often serve as emotional crutches, hindering personal growth. Consistently, experts in mental health recommend a clean break to enable healthier progress toward individual resilience and later, healthier relationships. Therefore, this rule of thumb holds credibility based on authoritative psychological advice.",,Expert,24
Being suspicious when a widower in your family gets together with another widower soon after their spouses died.,"Family is torn apart when widow, widower get together",It's understandable if you're suspicious when a widower in your family gets together with another widower soon after their spouses died.,rot,0,"Grief is an intense, complicated process that varies greatly from person to person. However, creating a new romantic connection very quickly after the loss of a spouse can indeed raise suspicions. It can feel as if the new relationship is being used as a means to sidestep healthier aspects of grief, such as introspection and time spent alone. It might also lead to doubts about when the relationship actually began or concern about the sincerity of the new partner's intentions. While genuine, healthy relationships can certainly happen in these circumstances, suspicions are not automatically invalid. The truth is often complex and nuanced.",,Logical,25
Understanding the perspective of others.,Telling my sister she shouldn't be angry about waiting,You should try to understand the perspective of others.,rot,27,"In a world increasingly divided, understanding others' perspectives is not just accurate; it's essential. By viewing the world through others' eyes, we broaden our comprehension and deepen our empathy. It fosters respect and open-mindedness, eroding prejudice and bias. It bridges gaps, stimulates intellectual growth, and promotes emotional connectivity. Imagine the pain of feeling misunderstood, dismissed, or unheard. Now, think of the comfort when someone genuinely attempts to comprehend your thoughts or feelings. This rule of thumb is more than accurate; it's a vital ingredient for a more harmonious and compassionate society. It's the core of humanity, an enriching factor that could bring about unity where discord seems to reign.",,Emotional,26
Sabotaging your personal relationships.,"The love of my life ghosted me, and it’s my fault",You should not sabotage your personal relationships.,rot,42,"The adage ""You should not sabotage your personal relationships"" conveys a universal Truth. Relationships form the backbone of one's social, emotional, and often, professional life. Ruining them intentionally can lead to isolation, mental stress and unhappiness. Evidence abounds in psychology supporting the positive correlation between strong personal relationships and mental wellbeing. Dr. Robert Waldinger, director of the 75-year long Harvard Study of Adult Development, concludes human connection makes us happier, healthier, and live longer. Sabotaging relationships inevitably leads to emotional and mental fallout, magnifying life adversities. Therefore, the axiom stands accurate, underlining the significance of maintaining healthy relationships.",,Expert,27
