action,situation,rot,experiment_condition,rating,llm_response_rot,llm_response_action_situation,prompt_condition,idx
Looking into your eyes when you talk to them.,I don't look into people's eyes.,You can't expect people to always look into your eyes when you talk to them.,action_situation,6,,"While some might argue that eye contact during conversations is essential as it fosters connection and understanding, this rule does not hold true for everyone. In fact, for those uncomfortable with eye contact, like the character in the given situation, it would be highly inappropriate to force such a behavior. The discomfort could lead to anxiety or uneasiness, hindering effective communication further. Therefore, the appropriateness of the action stands at a fairly low 6 out of 100. It's vital to respect personal preferences and comfort zones in interpersonal communication. Everyone has their unique methods of engagement and understanding.",Logical,15
Answering the door when not fully clothed.,Answering the door for the pizza guy in my boxers,It is socially unacceptable to answer the door when not fully clothed.,action_situation,45,,"Imagine from their perspective opening the door of a stranger's home to see them in their underwear. It could make them uncomfortable and potentially jeopardize their work attitude. Delivering goods to people's homes is already a difficult and demanding job, adding the stress of unexpected and disconcerting situations might make it unbearable. Out of respect and empathy for these hardworking individuals, taking a moment to throw on a robe or some loose-fit clothing before answering the door is a small action that could make their workday a bit more comfortable. It's a simple gesture of kindness that maintains the dignity of all involved.",Emotional,16
Congratulating your competitor whenever they win something.,Feeling terrible for not winning an award,It is good to congratulate your competitor whenever they win something.,action_situation,90,,"Congratulating your competitor, even though you're disappointed about not winning yourself, stands at 90/100 on the appropriateness scale. This is because it showcases emotional intelligence and empathy, highlighting that you're capable of recognizing merit in others even when you're feeling down. It proves your maturity and sportsmanship, as you appreciate good work regardless of the situation. This ability to put your personal feelings aside helps to create a healthy and respectful competitive environment. It might feel terrible not winning, but by congratulating your competitor, you are winning at displaying grace, maintaining your dignity and fostering good relationships.",Emotional,17
Going through an application process to adopt someone.,Wanting to adopt my niece,It's expected that you have to go through an application process to adopt someone.,action_situation,98,,"Adopting a niece involves going through an application process similar to other adoptions, hence the accuracy score of 98 out of 100. Financial standing, home environment, and the emotional health of the prospective parent are typically evaluated. The applicant must prove they can provide a supportive, stable, and loving home environment for the child. Importantly, the relationship already established with the niece helps ease the transition, adding to the success and appropriateness of the process. While unique conditions might exist, this action correctly and effectively responds to the situation in the vast majority of cases.",Logical,18
Finding someone to take care of your sister's kids when she is unable to take care of them and you no longer want to do it.,Not wanting to take care of my sister's kids,"If your sister is not able to take care of her kids on her own and you no longer want to do it, you need to find someone else to take care of them.",action_situation,72,,"While it's completely understandable that taking care of your sister's kids can, at times, be overwhelming and hectic, it's also essential to remember that they are family and deserve care and attention. Feeling drained or wishing for your own space doesn't make you a bad person; we all need a break once in a while. Therefore, finding someone else to step in and help out is an act of love - you're ensuring the kids' needs are met while also looking after your own well-being. Knowing when to ask for help is a strength, not a weakness. Ultimately, it ensures everyone's happiness and maintains the family bond.",Emotional,19
Sleeping with your stepsister's best friend.,Sleeping with my stepsister's friend,It is gross to sleep with your stepsister's best friend.,action_situation,62,,"While the act of 'sleeping with your stepsister's best friend' in the situation 'sleeping with my stepsister's friend' might seem inappropriate to some due to potential interpersonal consequences, it's been given a 62/100 rating for appropriateness because there technically aren't any direct familial or ethical transgressions. This scenario assumes there are genuine feelings involved and informed consent from both parties. The score doesn't fully reach a higher level due to the potential for causing friction in your relationship with your stepsister or within her friend group. Therefore, while not entirely inappropriate, caution and respect towards your stepsister's feelings is advised.",Logical,20
Allowing your wife to wear whatever she wants in the bedroom.,Wanting my wife to wear lingerie in the bedroom,It is loving to allow your wife to wear whatever she wants in the bedroom.,action_situation,97,,"While it's absolutely normal for a man to have specific desires, such as wanting his wife to wear lingerie in the bedroom, enforcing this without her consent is not alright. Therefore, allowing your wife to wear whatever she wants is a respectful and fair act. It scores a 97 out of 100 because it balances personal desire with respect and consent, leading to mutual comfort and understanding. This doesn't mean you can't express your preference, it's about being considerate of her feelings as well. Open communication can often find a middle ground that satisfies both parties in the relationship.",Logical,21
Sharing personal feelings with strangers.,Talking about my gender feelings,It's best not to share personal feelings with strangers.,action_situation,69,,"Discussing personal aspects such as gender feelings with a stranger has a moderate level of appropriateness - a 69 out of 100. Our society is evolving to encourage open dialogue about gender identity and expression. By engaging in these conversations, we contribute to reducing stigma and fostering understanding. Yet, we also have to consider the context. It's crucial to gauge the receptivity and understand the strangers' comfort level to ensure positive communication. Given these factors, we tread cautiously in this space. Promoting fairness and acceptance does not preclude respecting the boundaries of others; thus, the moderately high rating for appropriateness.",Expert,22
Purposely trying to be like your best friend.,I am a shadow of my best friend,It is wrong to purposely try to be like your best friend.,action_situation,28,,"The action, while seemingly apt given the circumstances, is only somewhat appropriate because although being a 'shadow' metaphorically means to imitate or trail behind someone, it doesn't necessarily entail purposefully trying to be exactly like someone else. Preserving one's individuality and embracing the qualities unique to oneself is not only crucial for self-esteem but also crucial for a healthy friendship. Constantly attempting to be like your best friend may lead to comparison and dissatisfaction among either party involved. Therefore, while the situation may seem to coincide with the action, the appropriateness is only a 28 on a scale of 100.",Logical,23
Being with your ex when they still have feelings for you.,I chat with my ex every few months and could probably still hit it.,You shouldn't be friends with your ex if they still have feelings for you.,action_situation,95,,"This action is rated fairly high on the scale of appropriateness due to the context provided. As the speaker, I maintain a cordial and occasional connection with my ex, suggesting that it is not filled with bitterness or negativity. Moreover, the statement ""could probably still hit it"" implies a potential mutual awareness and acceptance of lingering feelings. It references an emotional intelligence where one ex-partner understands and is able to navigate a complex emotional situation. As long as this communication is honest, respectful, and does not lead to emotional manipulation or harm, it is considered appropriate despite the involved complexities.",Logical,24
Being suspicious when a widower in your family gets together with another widower soon after their spouses died.,"Family is torn apart when widow, widower get together",It's understandable if you're suspicious when a widower in your family gets together with another widower soon after their spouses died.,action_situation,7,,"While it is understandable to harbor suspicion in situations like this due to the speed or timing of the new relationship, it is crucial to voice and handle such sensitive concerns with empathy. Grief manifests differently in everyone; some might find solace and understanding in companionship with someone experiencing a similar loss. Instead of casting suspicion, approach the situation affectionately with open dialogue, allowing them to express their feelings. Remember, they too are navigating through deep-seated emotions of loss. Perhaps it is the mutual support and understanding that are attracting these widowers to each other, accelerating their companionship.",Emotional,25
Understanding the perspective of others.,Telling my sister she shouldn't be angry about waiting,You should try to understand the perspective of others.,action_situation,61,,"Understanding the perspective of your sister is a critical factor here, hence, earning a score of 61 out of 100. Empathy promotes an environment where more constructive communication can occur. It would allow you to explore why she feels anger about waiting, thus, providing an opportunity to address the real issues rather than just the superficial expression of anger. However, while empathy is essential, it's also crucial not to discount her feelings or preach to her about how she 'should' feel. A more appropriate approach would be to validate her feelings, while gently providing alternate perspectives. Your role is to guide rather than dictate.",Expert,26
Sabotaging your personal relationships.,"The love of my life ghosted me, and it’s my fault",You should not sabotage your personal relationships.,action_situation,73,,"It's understandable to rate sabotaging your personal relationships a 73 out of 100 in the given situation, mainly from the viewpoint of empathy and sorrow. When someone you deeply love disconnects abruptly, the pain and regret can be overwhelming, to the point where it may seem like you were the one who sabotaged the relationship. In this stage of intense emotional pain, it's common to question your actions and assume full responsibility for the breakdown. However, remember that relationships are always a two-way street, influenced by the actions and decisions of both parties involved. It's crucial to maintain perspective while dealing with heartbreak.",Emotional,27
