social_chemistry_stimulus_rewrite,normbank_stimulus_rewrite,social_chemistry_stimulus,normbank_stimulus,domain,norm_label,idx
It is gross to sleep with your stepsisters best friend.,Bite your nails in an apartment when you are not nervous,It is gross to sleep with your stepsisters best friend.,biting your nails at a apartment where [PERSON]'s condition or state is not 'nervous',personal,taboo,32
It is loving to allow your wife to wear whatever she wants in the bedroom.,Cry in a hotel lobby while asking for a refund,It is loving to allow your wife to wear whatever she wants in the bedroom.,cry at a hotel lobby where [PERSON]'s behavior is 'ask for a refund',personal,taboo,33
It's good to practice law with your parent.,Stare off into space at a bar when you are the manager,It's good to practice law with your parent.,staring off into space at a bar where [PERSON]'s role is 'manager',personal,taboo,34
You should always try to mediate your parent's arguments.,Go on rides at a balloon festival while dismissing the event as childish,You should always try to mediate your parent's arguments.,go on rides at a balloon festival where [PERSON]'s behavior is 'dismiss the event as childish',personal,taboo,35
It's best not to share personal feeling with strangers.,Sing in a newsroom while asking someone out on a date,Its best not to share personal feeling with strangers.,sing at a newsroom where [PERSON]'s behavior is 'ask someone out on a date',personal,normal,36
It is wrong to purposely try to be like your best friend.,Talk about mental health at a campsite while arguing with your spouse,It is wrong to purposely try to be like your best friend.,talk about mental health at a campsite where [PERSON]'s behavior is 'argue with your spouse',personal,normal,37
You shouldn't be friends with your ex if they still have feelings for you.,Cry in a hotel lobby while bringing a pet,You shouldn't be friends with your ex if they still have feelings for you.,cry at a hotel lobby where [PERSON]'s behavior is 'bring a pet',personal,normal,38
You shouldn't expect your friend to pay you back for something they did to your things.,Canoe at a campsite while talking about your ex,You shouldn't expect your friend to pay you back for something they did to your things.,canoeing at a campsite where [PERSON]'s behavior is 'talk about your ex',personal,normal,39
It's allowed to plan on some day being your own boss.,Compare your experiences to others in an alcoholics ward when you are a doctor,It's allowed to plan on some day being your own boss.,compare your own experiences to others in the room at a alcoholics ward where [PERSON]'s role is 'doctor',personal,normal,40
It's understandable if you're suspicious when a widower in your family gets together with a widower soon after their spouse's died.,Talk to yourself in a mental institution when you are a patient,It's understandable if you're suspicious when a widower in your family gets together with a widower soon after their spouse's died.,talk to yourself at a mental institution where [PERSON]'s role is 'patient',personal,expected,41
You should try to understand the perspective of others.,Cry at a bowling alley while being broken up with,You should try to understand the perspective of others.,cry at a bowling alley where some OTHER PERSON is also doing bowling alley behavior is 'break up with you',personal,expected,42
