StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,commit,pid,attn1,dv_llm_usage,dv_use_moral,dv_use_moral_feed,dv_use_moral_desc,dv_use_personal,dv_use_personal_feed,dv_use_personal_desc,dv_use_con,dv_use_con_feed,dv_use_con_desc,race,educ,income,gender,gender_4_TEXT,age
2025-10-13 11:06:44,2025-10-13 11:09:16,IP Address,97.95.253.207,100,151,True,2025-10-13 11:09:16,R_3RpFsr6W7oyieeP,,,,,35.5397,-82.5151,anonymous,EN,"Yes, I will",5654171504212700054a12ad,25,Yes - less often than several times a week,No - never used,"The question is clear, I understand what is being asked of me.","I have not used Ai in this manner,",No - never used,"Yes, I understand the question clearly.",I have never used AI in this form or way.,No - never used,"The question is clear, I understood what was being said.",I have not used AI in this manner before.,,,,,,
2025-10-13 11:06:06,2025-10-13 11:09:41,IP Address,67.222.193.212,100,215,True,2025-10-13 11:09:41,R_5ffmc69RagROfXQ,,,,,41.5471,-96.1591,anonymous,EN,I can't promise either way,669daa4686873852558b138a,25,Yes - several times a week,No - never used,"Yes, it is clear",I have not used it for this type of thing,Yes - less often than several times a week,yes,"I have used it to help me figure out a diet plan for me. Which, can be emotional when it feels overwhelming trying to reach my goal. ",No - never used,"Yes, it is totally clear to me","I ask chatgpt for questions about meals, best prices, or help planning trips. ",,,,,,
2025-10-13 11:06:56,2025-10-13 11:09:42,IP Address,174.16.213.238,100,166,True,2025-10-13 11:09:43,R_6XVSJATLUtfnpJL,,,,,39.7277,-104.9815,anonymous,EN,"Yes, I will",60197dd14bb8ca09a27e5c3b,25,Yes - several times a week,No - never used,,,Yes - less often than several times a week,,,Yes - less often than several times a week,,,,,,,,
2025-10-13 11:06:57,2025-10-13 11:09:47,IP Address,73.234.151.180,100,170,True,2025-10-13 11:09:48,R_7Bl0SDW6Yl6OJFQ,,,,,41.9137,-70.6393,anonymous,EN,"Yes, I will",5fc59fed16726c1191d1172f,25,Yes - several times a week,No - never used,Yes I understand asking about moral ambiguous usage,I don't use it for uestionable reasons.,No - never used,"It's too intrusive of a use ",I don't need AI to tell me what to do.,Yes - several times a week,yes it asks about my usage,I ask when I need a quick answer,,,,,,
2025-10-13 11:07:16,2025-10-13 11:09:52,IP Address,70.124.137.100,100,155,True,2025-10-13 11:09:52,R_1Y4gTIWqnM1AYPk,,,,,30.1826,-97.7394,anonymous,EN,"Yes, I will",6443231fbc6350e4ee5f2f25,25,Yes - several times a week,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:06:18,2025-10-13 11:10:34,IP Address,172.56.183.146,100,255,True,2025-10-13 11:10:34,R_3QMpmdINZS7BdtW,,,,,34.0544,-118.244,anonymous,EN,"Yes, I will",66b01097e95b0626c2cd7b5c,25,Yes - several times a day,Yes - almost constantly,Yes; The question is about using artificial intelligence to navigate ethical dilemmas.,"I am currently exiting a toxic workplace environment and consulted with AI about how to do it. Usually, I just quit and burn the bridge if it got bad. However, AI was great at helping me find a calm and collected way of exiting the workplace environment. Things are working out exceptionally, and taught me the value of staying true to my values, even when others are unfair.",Yes - several times a day,Yes; the question is about using AI to navigate different relationships,I used AI to learn more about effective communication with family and my partner. I found the tips to be middle of the road and benefitted more from therapy.,Yes - less often than several times a week,The question is clear because it clearly indicates the subject matter and it’s subcategories,"I used AI once to get a better clue of how to behave during a wedding. I also wanted to learn more about appropriate gifts and how to present, especially being my first time. Everything worked out better than expected and I felt more prepared.",,,,,,
2025-10-13 11:09:29,2025-10-13 11:10:35,IP Address,69.5.203.180,100,66,True,2025-10-13 11:10:36,R_6SwPszQjYNZ3S5i,,,,,31.0296,-96.1147,anonymous,EN,"Yes, I will",66045d9597282a2c36b8adbd,25,Yes - less often than several times a week,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:09:07,2025-10-13 11:10:52,IP Address,129.222.44.196,100,105,True,2025-10-13 11:10:53,R_5YrfVI9w9WSyzfj,,,,,44.9834,-93.2622,anonymous,EN,"Yes, I will",616cf9ae07c1c6bd05d95beb,25,Yes - several times a day,Yes - less often than several times a week,yes it made sense to me,i have used this once for a sitution i wasnt 100% sure if i did the right thing,Yes - less often than several times a week,,,No - never used,,,,,,,,
2025-10-13 11:09:27,2025-10-13 11:10:52,IP Address,172.59.128.190,100,84,True,2025-10-13 11:10:53,R_3qKWFiPRosnUEJz,,,,,37.7794,-122.2178,anonymous,EN,"Yes, I will",546ec14dfdf99b2bc7ebd032,25,No - never used,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:09:07,2025-10-13 11:10:54,IP Address,172.59.224.2,100,106,True,2025-10-13 11:10:54,R_1rxdTS2x03GsaXf,,,,,39.6993,-104.8814,anonymous,EN,"Yes, I will",66329baddaa1c0d57131789a,25,Yes - several times a day,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:07:36,2025-10-13 11:11:26,IP Address,47.146.2.169,100,230,True,2025-10-13 11:11:26,R_3SruJ1KhjcTl7Wk,,,,,34.1649,-119.172,anonymous,EN,"Yes, I will",678f0bb28ec3307e4f1afb78,25,Yes - several times a day,No - never used,,I use it mostly to conduct technical research,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:07:52,2025-10-13 11:11:31,IP Address,66.229.94.170,100,219,True,2025-10-13 11:11:31,R_35uWwSxWjeCHsi0,,,,,26.0162,-80.1955,anonymous,EN,"Yes, I will",60e9e8092cfc1f464753dd71,25,Yes - several times a day,No - never used,,,No - never used,,,Yes - less often than several times a week,,,,,,,,
2025-10-13 11:06:40,2025-10-13 11:11:37,IP Address,76.185.168.205,100,296,True,2025-10-13 11:11:38,R_63GYxr7b3FlOhTr,,,,,29.4401,-98.4546,anonymous,EN,"Yes, I will",670ff2e18c2f93beac6a6a72,25,Yes - several times a week,No - never used,"Yes it is clear. It's asking me if I used a chatbot for a moral dilemma. ",,No - never used,"Yes it's clear. It is asking me if I ever used chatgpt or ai for emotional help. ","I use chatgpt and gemini for fun stuff like when I need help in a game or when I'm curious about a scientific topic. ",Yes - less often than several times a week,"Yes, it's clear. It is asking me if I used a chatbot for what's socially acceptable. ",I used it before on how much is it okay to tip on doordash. I listened to it and tipped at the minimum 5. I still got my food late so I don't know if it's helpful.,,,,,,
2025-10-13 11:10:17,2025-10-13 11:11:46,IP Address,98.96.58.59,100,88,True,2025-10-13 11:11:46,R_7g0H1NbG0Nb9UGS,,,,,30.439,-95.5384,anonymous,EN,"Yes, I will",55bb9ae7fdf99b26d27fda01,25,Yes - several times a day,No - never used,,,Yes - less often than several times a week,,,No - never used,,,,,,,,
2025-10-13 11:07:07,2025-10-13 11:12:02,IP Address,99.72.29.163,100,295,True,2025-10-13 11:12:02,R_7PvuH9OM5gf7DHg,,,,,30.5089,-97.6796,anonymous,EN,"Yes, I will",58578946c41fd90001434680,25,Yes - several times a week,No - never used,,,No - never used,,,Yes - less often than several times a week,"Yes it's clear and a completely realistic question. ",Questions about weddings because I've only ever been to two and that was years ago. I wanted to see how things might have changed in terms of gifts and participation.,,,,,,
2025-10-13 11:10:44,2025-10-13 11:12:04,IP Address,173.90.255.143,100,80,True,2025-10-13 11:12:04,R_77iQ1MXCtZXHBct,,,,,40.5567,-81.8324,anonymous,EN,"Yes, I will",5eac686d82cc012af1e953c7,25,Yes - about once a day,No - never used,,,Yes - less often than several times a week,,,No - never used,,,,,,,,
2025-10-13 11:09:33,2025-10-13 11:12:14,IP Address,64.188.138.0,100,161,True,2025-10-13 11:12:15,R_6nAB7DclumMtM9z,,,,,35.903,-82.2876,anonymous,EN,"Yes, I will",5727d93522e522000e7a0a3c,25,Yes - about once a day,No - never used,,,No - never used,I understood the question for personal guidance which I really haven't done any yet.,"Mainly as a tool for gathering information from my emails, and perhaps making images for cards lately.",Yes - less often than several times a week,,I once asked how I should tell my friend some bad news but it was for a work AI project and wasn't something i might have asked in real life,,,,,,
2025-10-13 11:10:26,2025-10-13 11:12:36,IP Address,73.225.105.158,100,130,True,2025-10-13 11:12:37,R_54C3mj8Ikhxz81q,,,,,47.209,-122.2336,anonymous,EN,"Yes, I will",63ecf8c3796bf9efcf715050,25,Yes - several times a day,Yes - about once a day,"Yes, the question is clear and well-written",,Yes - several times a week,,,Yes - less often than several times a week,"Yes, the question is clear because it is well-written.",,,,,,,
2025-10-13 11:09:50,2025-10-13 11:13:00,IP Address,69.85.235.224,100,189,True,2025-10-13 11:13:00,R_6tqVjfH2T9AbLQp,,,,,30.6717,-88.0987,anonymous,EN,"Yes, I will",63d4857d5c9e6f18b03027b3,25,Yes - several times a day,No - never used,"Yes, it's clear, I just haven't used the tool as a sort of moral compass.  ","My usage is more along the lines of help with work related tasks.  Examples include document review, crafting emails, establishing ratios, etc.  ",No - never used,,"My usage is as previously described.  Thank you.  ",Yes - less often than several times a week,"Yes, I have used on a few occasions.  ","I wasn't sure how to handle a situation at a wedding, so I got input from ChatGPT.  ",,,,,,
2025-10-13 11:11:35,2025-10-13 11:13:06,IP Address,64.82.152.86,100,90,True,2025-10-13 11:13:07,R_5dAB2SMYJxQdhKO,,,,,34.6462,-89.3054,anonymous,EN,"Yes, I will",59dc4083ae9f950001d83b4b,25,Yes - several times a day,Yes - less often than several times a week,,,Yes - less often than several times a week,,,Yes - less often than several times a week,,,,,,,,
2025-10-13 11:07:23,2025-10-13 11:13:12,IP Address,47.188.175.99,100,349,True,2025-10-13 11:13:13,R_794YdRCoia6Y0wh,,,,,32.9376,-97.0829,anonymous,EN,"Yes, I will",66759eb2274a4f10deeba339,25,Yes - several times a day,Yes - less often than several times a week,Yes this question is clear displaying multiple bullet points and what exactly you're looking for,I would rather not say personal questions,No - never used,Yes this question is clear since like the previous ones they put down in depth examples,I'm not listing down personal questions,Yes - less often than several times a week,Yes the question is clear. The bullet points listed provide a good rundown of what exactly you're looking for with this question,I am not listing down personal questions,,,,,,
2025-10-13 11:10:40,2025-10-13 11:13:13,IP Address,24.44.210.159,100,153,True,2025-10-13 11:13:13,R_5IHqRjpohXwZIuP,,,,,40.9817,-74.1101,anonymous,EN,"Yes, I will",62cd9b920ed1b7c1648818d3,25,Yes - several times a day,Yes - less often than several times a week,,,Yes - less often than several times a week,,,Yes - less often than several times a week,,,,,,,,
2025-10-13 11:06:16,2025-10-13 11:13:28,IP Address,97.177.153.106,100,431,True,2025-10-13 11:13:29,R_5HvTpW9RRKAzZON,,,,,29.9375,-90.0848,anonymous,EN,"Yes, I will",67aced4b25f62493088645b8,25,Yes - less often than several times a week,Yes - less often than several times a week,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:07:34,2025-10-13 11:13:34,IP Address,68.81.59.144,100,360,True,2025-10-13 11:13:34,R_7GU0XHe989ky7Ml,,,,,39.9028,-75.3113,anonymous,EN,"Yes, I will",662eeeb09572de78ffb440b1,25,No - never used,No - never used,"Yes, it's clear.",I don't use chatbots and would definitely not use them for this purpose. I wouldn't trust the moral or ethical guidance from AI. Never.,No - never used,"Yes, I've heard of people doing this.",I don't think I'd ever do this. I'd rather talk to a human.,No - never used,"Yes, it's clear.",I've never used a chatbot for this but I've googled these types of questions. For instance: how much is appropriate for a gift for a niece's wedding?,,,,,,
2025-10-13 11:12:52,2025-10-13 11:14:50,IP Address,75.187.32.181,100,117,True,2025-10-13 11:14:50,R_5wF9Te1G2T3asjx,,,,,41.3137,-81.7246,anonymous,EN,"Yes, I will",66926bdaacd865fc152ef5ff,25,Yes - several times a day,No - never used,yes this is clear.  i may try to use it for this.  i never thought about it,i have not used for this,No - never used,"yes, many people use for personal advice but i prefer not to","i use it to help write emails, get information about products, write policies for work.  so far it seems to be working great.  i notice alot of errors though at itmes",No - never used,,,,,,,,
2025-10-13 11:13:59,2025-10-13 11:15:25,IP Address,97.204.242.14,100,85,True,2025-10-13 11:15:25,R_3DqV1BJN20cmw01,,,,,40.6265,-80.0559,anonymous,EN,"Yes, I will",55acf681fdf99b3d5b2ab68c,25,Yes - less often than several times a week,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:13:30,2025-10-13 11:15:46,IP Address,86.109.93.228,100,135,True,2025-10-13 11:15:46,R_17EeMbgq8dRPsbe,,,,,40.7126,-74.0066,anonymous,EN,"Yes, I will",67e069199f5b036960b0cc5f,25,Yes - several times a day,No - never used,,,Yes - less often than several times a week,,,No - never used,,,,,,,,
2025-10-13 11:10:42,2025-10-13 11:16:06,IP Address,71.61.53.83,100,323,True,2025-10-13 11:16:06,R_5h5Wi9f21BMhF9k,,,,,40.064,-80.7209,anonymous,EN,"Yes, I will",62b9c2f1e55fe9f17dfedc5d,25,Yes - less often than several times a week,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:13:32,2025-10-13 11:16:10,IP Address,97.81.144.96,100,157,True,2025-10-13 11:16:10,R_6t9ehuncHg6Xyub,,,,,36.5491,-82.5584,anonymous,EN,"Yes, I will",662a5d4dabae70ece2dfcc21,25,No - never used,No - never used,The cited examples clarify the question.,,No - never used,This question is clear. The provided examples clarify what is being asked.,,No - never used,,,,,,,,
2025-10-13 11:14:54,2025-10-13 11:16:12,IP Address,98.177.117.130,100,78,True,2025-10-13 11:16:12,R_7GxOOWXc69FIGyt,,,,,31.9576,-110.9557,anonymous,EN,"Yes, I will",5bfd81fb2feab400014d9060,25,Yes - several times a day,No - never used,,,Yes - about once a day,,,No - never used,,,,,,,,
2025-10-13 11:12:02,2025-10-13 11:16:12,IP Address,172.59.186.82,100,250,True,2025-10-13 11:16:13,R_5rZlKizkacSU4nL,,,,,41.8835,-87.6305,anonymous,EN,"Yes, I will",6810e66d3f6d622de733cb42,25,Yes - several times a day,Yes - several times a day,The question is clear,I used it to get what I needed,Yes - several times a day,,,Yes - several times a day,,,,,,,,
2025-10-13 11:10:30,2025-10-13 11:16:19,IP Address,206.211.222.241,100,348,True,2025-10-13 11:16:19,R_5WFsTUSWPRdvmKt,,,,,39.3434,-84.4009,anonymous,EN,"Yes, I will",57597452e8feea0006ef8805,25,Yes - less often than several times a week,No - never used,"Yes. ""Did you ever use an AI to explore ethical or moral issues?"" ",,Yes - less often than several times a week,"Have you ever used ChatGPT as a therapist or coach or friend? ","I've used CGPT to explore feelings after a breakup and with losing community. It did a much better job of active listening than humans can; i didn't feel judged even if I didn't get any actionable items out of talking to it. ",Yes - less often than several times a week,"Yes. Have you ever asked it a social etiquette questions? ","I asked if what the appropriate amount was to spend on a gift in the office Christmas exchange. They said 10-20 bucks but then people started going big with the last gift. So, I used ChatGPT to spitball how I would look if I did or didn't do it, since I am a tightwad and don't want to spend $50 when I could spend $20. ChatGPT did not give me an answer but gave me a space to realize that I could manage perception of me by giving the gift in a different way an saying I misunderstood or forgot the changed final gift rule so that my smaller gift was not showcased.",,,,,,
2025-10-13 11:13:36,2025-10-13 11:17:30,IP Address,73.27.235.81,100,233,True,2025-10-13 11:17:30,R_5BzVEynNJt5bH4o,,,,,26.824,-81.9547,anonymous,EN,"Yes, I will",661770012a3c83b4bdaff645,25,Yes - several times a week,Yes - less often than several times a week,Yes. the question is very clear.,"I asked about work and how to ask my manager why we don't get large raises.  Things didn't workout so well because he response was that it was out his control and corporates decision. ",No - never used,,,Yes - less often than several times a week,The question is clear because the question clearly states what is being asked from me regarding how I use chatbots.,"I think it worked out fairly well. The answers are not perfect but I took them into account when making my decisions. ",,,,,,
2025-10-13 11:11:19,2025-10-13 11:18:26,IP Address,71.113.184.99,100,426,True,2025-10-13 11:18:26,R_3wd9VaqquktduEb,,,,,40.1788,-77.0047,anonymous,EN,"Yes, I will",5b9efb73d1ff7a00013bfe84,25,Yes - several times a week,No - never used,yes,,No - never used,"yes, very",,No - never used,"Yes, I guess so","I have used AI to help craft an email, that is the closest I come to the above",,,,,,
2025-10-13 11:12:52,2025-10-13 11:19:22,IP Address,72.24.22.82,100,390,True,2025-10-13 11:19:22,R_1hXZM85yCnZgav9,,,,,34.1688,-109.9902,anonymous,EN,"Yes, I will",5f0c7ea47cf1495f4587f741,25,Yes - several times a week,No - never used,"I did not ask. When it comes to ethics, I normally know what to do",I did not inquire about this topic,Yes - less often than several times a week,Yes because it talks about personal relationships,"I asked for advice about communication with family members and Chat GPT's guidance was wise and diplomatic. ",Yes - less often than several times a week,"It is quite clear, it states ""social norms and expectations"" which is easily understood",I asked about a friend who is currently not talking to me and Chat GPT informed me that I should wait until my friend is ready to make contact. So It worked out well.,,,,,,
2025-10-13 11:13:37,2025-10-13 11:20:45,IP Address,96.41.18.192,100,427,True,2025-10-13 11:20:45,R_7cTE6NkJUow8lam,,,,,34.0038,-117.446,anonymous,EN,"Yes, I will",56b61b915cd743000e6e01c5,25,Yes - several times a day,No - never used,yes clear,I don't use it this way,No - never used,it is very clear,I don't use it for this,No - never used,yes clear,don't use it this way,,,,,,
2025-10-13 11:17:00,2025-10-13 11:20:52,IP Address,73.49.175.156,100,231,True,2025-10-13 11:20:52,R_1OUCM3BoAOVkCpY,,,,,26.2822,-80.1156,anonymous,EN,"Yes, I will",66114844b8efff4b2af276ec,25,Yes - less often than several times a week,No - never used,,,Yes - less often than several times a week,,"Mostly for feelings of grief. People might feel badly for me for having two of my sons die, but they most certainly don't want to talk to me about it.
I found it relieving.",Yes - less often than several times a week,,"I asked about initiating correspondence with the recipients of my late son's organs.
The advice was solid, but I haven't acted on it at this point.",,,,,,
2025-10-13 11:21:15,2025-10-13 11:22:32,IP Address,174.178.140.2,100,76,True,2025-10-13 11:22:32,R_1qUvUDqaDP8R7Uq,,,,,40.3473,-75.9305,anonymous,EN,"Yes, I will",5d15160539eeea001683830c,25,Yes - less often than several times a week,No - never used,,,Yes - less often than several times a week,,,No - never used,,,,,,,,
