rot,rot_clean,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,domain_correct,valid,notes,diversity_score
It is ok to invite your friend to a concert where her ex is performing if they are on good terms.,It is ok to invite your friend to a concert where her ex is performing if they are on good terms.,inviting your friend to a concert where her ex is performing if they are on good terms.,inviting a friend to a concert where (she knows) her ex is performing,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.83743227
You shouldn't let your thoughts about your professor get you down.,You shouldn't let your thoughts about your professor get you down.,letting your thoughts about your professor get you down.,"I can’t stop thinking about my professor, and I hate it.",personal-psychological,high_agreement,4,0,>99%,confessions,1,1,,0.83743227
It's good to consider your partner's feelings when deciding whether or not to have kids.,It's good to consider your partner's feelings when deciding whether or not to have kids.,considering your partner's feelings when deciding whether or not to have kids.,Couple Who Want Kids Wonder if They Can Live Without Them,personal-psychological,high_agreement,4,0,>99%,dearabby,1,1,,0.83743227
It's understandable to be upset if your friend pays more attention to his girlfriend than you.,It's understandable to be upset if your friend pays more attention to his girlfriend than you.,being upset if your friend pays more attention to his girlfriend than you.,getting a little upset every time my best friend and his girlfriend hang out with me,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.83743227
It's okay to use positive reinforcement when you're potty training your child.,It's okay to use positive reinforcement when you're potty training your child.,using positive reinforcement when you're potty training your child.,Jenny mother would give her a pink sticker every time she potted.,personal-psychological,high_agreement,3,0,75-90%,rocstories,1,1,,0.83743227
It's not okay to still have feelings for your ex.,It's not okay to still have feelings for your ex.,still having feelings for your ex.,I miss my old girlfriend...,personal-psychological,low_agreement,1,-1,5-25%,confessions,1,1,,0.8515121
It's good to get unique things so you impress others.,It's good to get unique things so you impress others.,getting unique things so you impress others.,Cathy wanted a unique centerpiece for her wedding.,personal-psychological,low_agreement,1,0,5-25%,rocstories,1,1,,0.8515121
"If you do something that will cause grief to your husband, you should do it in such a way that he won't find out.","If you do something that will cause grief to your husband, you should do it in such a way that he won't find out.",making sure your husband won't find out when you're doing something to cause him grief,Kenny discovers his wife in the bed with another man.,personal-psychological,low_agreement,1,0,5-25%,rocstories,1,1,,0.8515121
It is good to deny an overweight child snacks.,It is good to deny an overweight child snacks.,denying an overweight child snacks.,not giving my overweight son a donut,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.8515121
It's good to want to study in private where you won't bother others.,It's good to want to study in private where you won't bother others.,wanting to study in private where you won't bother others.,I decided to wait until I got home to study.,personal-psychological,low_agreement,1,1,5-25%,rocstories,1,1,,0.8515121
Letting your GF's sister know how you truly feel is the best way to go.,Letting your GF's sister know how you truly feel is the best way to go.,Letting your GF's sister know how you truly feel,"telling my GF's sister not to touch my newborn son because she insulted him, me, and my gf",personal-psychological,low_agreement,1,1,5-25%,amitheasshole,1,1,,0.8515121
You should keep your inner child on a leash.,You should keep your inner child on a leash.,keeping your inner child on a leash,Unleashing my inner child,personal-psychological,low_agreement,1,0,5-25%,confessions,1,1,,0.8515121
You should tell your friend that you hate their pictures.,You should tell your friend that you hate their pictures.,telling your friend that you hate their pictures.,I hate every picture my friend posts,personal-psychological,low_agreement,1,1,5-25%,confessions,1,1,,0.8515121
It's encouraged you seek someone out to fill the role of a parent you're missing,It's encouraged you seek someone out to fill the role of a parent that you are missing.,seeking someone out to fill the role of a parent you're missing,I wish I had a Mom.,personal-psychological,low_agreement,1,0,5-25%,confessions,1,1,"Made ""that you are missing"" clearer",0.8515121
It is polite to explain your feelings if telling someone I love you for the first time.,It is polite to explain your feelings if telling someone I love you for the first time.,explaining your feelings if telling someone I love you for the first time,"not saying ""I love you"" back",personal-psychological,low_agreement,1,1,5-25%,amitheasshole,1,1,,0.8515121
It is okay to change your mind about a big life decision.,It is okay to change your mind about a big life decision.,changing your mind about a big life decision.,I am purposefully smoking marijuana so I can fail my military drug test.,personal-psychological,medium_agreement,2,0,50%,confessions,1,1,,0.8395555
A child shouldn't expect to have privacy from a parent that they rely on for everything.,A child shouldn't expect to have privacy from a parent that they rely on for everything.,expecting to have privacy from a parent that they rely on for everything.,being mad at my mom for checking my phone,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1,1,,0.8395555
You should try to ignore your feelings when you're working and just let the work pour through you,You should try to ignore your feelings when you're working and just let the work pour through you.,trying to ignore your feelings when you're working and just letting the work pour through you,My work slowed to a sluggish pace and I couldn't focus at all.,personal-psychological,medium_agreement,2,1,50%,rocstories,1,1,,0.8395555
You don't have to attend a friend's event if you don't want to go.,You don't have to attend a friend's event if you don't want to go.,having to attend a friend's event if you don't want to go.,wanting to back out of my best friend's bachelorette weekend,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1,1,,0.8395555
You shouldn't base your self-worth on your intelligence.,You shouldn't base your self-worth on your intelligence.,basing your self-worth on your intelligence.,I grew up thinking I had to be smart to have any self worth.,personal-psychological,medium_agreement,2,-1,50%,confessions,1,1,,0.8395555
Informing a partners mom to stay out of your relationship can help inform them on how you feel about their actions and start a discussion.,Informing a partners mom to stay out of your relationship can help inform them on how you feel about their actions and start a discussion.,informing a partners mom to stay out of your relationship,telling my girlfreind's mother to butt out of our relationship,personal-psychological,medium_agreement,2,1,50%,amitheasshole,1,1,,0.8395555
It's wrong to hire an unqualified employee.,It's wrong to hire an unqualified employee.,hiring an unqualified employee.,I'm not qualified for my job,personal-psychological,medium_agreement,2,-1,50%,confessions,1,1,,0.8395555
You don't have to have a religion just because you're a child.,You don't have to have a religion just because you're a child.,having a religion just because you're a child,I'm an atheist but I'm only 12,personal-psychological,medium_agreement,2,0,50%,confessions,1,1,,0.8395555
It's good to show emotions in one's life.,It's good to show emotions in one's life.,showing emotions in one's life.,I've pumped enough self-doubt in my mind I'm impervious to personal emotion.,personal-psychological,medium_agreement,2,0,50%,confessions,1,1,,0.8395555
It's wrong to date your friend's cousin.,It's wrong to date your friend's cousin.,dating your friend's cousin.,dating my friend's cousin,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1,1,,0.8395555
If you do your job well you can expect to be promoted.,If you do your job well you can expect to be promoted.,expecting to be promoted when you do your job well,His boss gave him more responsibility as a result.,societal-conventional,high_agreement,3,0,75-90%,rocstories,1,1,,0.9082279
It's fine to keep one's romantic relationship private.,It's fine to keep one's romantic relationship private.,keeping one's romantic relationship private.,being upset with my HoCo partner for not telling me that she had a boyfriend,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.9082279
People should take as long as they need to process a loss.,People should take as long as they need to process a loss.,People taking as long as they need to process a loss.,Just lost a life long friend,societal-conventional,high_agreement,3,1,75-90%,confessions,1,1,,0.9082279
Parents are expected to be available to help their children.,Parents are expected to be available to help their children.,Parents being available to help their children.,Just then her mom appeared in the door smiling and asked her to help.,societal-conventional,high_agreement,3,0,75-90%,rocstories,1,1,,0.9082279
You shouldn't call an older cat a kitten.,You shouldn't call an older cat a kitten.,calling an older cat a kitten.,I have been in a relationship with my kitten for about 17 years.,societal-conventional,high_agreement,3,-1,75-90%,confessions,1,1,,0.9082279
It is nasty to give your partner the cold shoulder.,It is nasty to give your partner the cold shoulder.,giving your partner the cold shoulder.,being cold to my bf's friend,societal-conventional,high_agreement,4,-1,>99%,amitheasshole,1,1,,0.9082279
It's expected that people in film school will have to make a movie.,It's expected that people in film school will have to make a movie.,making a movie when you're in film school,Mark had to make a movie for his film class.,societal-conventional,high_agreement,3,0,75-90%,rocstories,1,1,,0.9082279
It is expected to ask for permission before using something that is not yours.,It is expected to ask for permission before using something that is not yours.,asking for permission before using something that is not yours.,telling my roommate to stop using my body Wash,societal-conventional,high_agreement,4,0,>99%,amitheasshole,1,1,,0.9082279
It's okay to miss someone you know's important  event if you have a really good reason.,It's okay to miss someone you know is important even if you have a really good reason.,missing the important event of someone you know when you have a really good reason,missing my roommate from college's wedding,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.9082279
It is expected that vegetarians will go to vegetarian restaurants.,It is expected that vegetarians will go to vegetarian restaurants.,vegetarians going to vegetarian restaurants.,Liz was upset they didn't have any vegetarian meals.,societal-conventional,high_agreement,3,1,75-90%,rocstories,1,1,,0.9082279
You shouldn't explain your new relationship to your kids.,You shouldn't explain your new relationship to your kids.,explaining your new relationship to your kids.,Daughter Seeks Explanation for Mom's New Relationship,societal-conventional,low_agreement,0,0,<1%,dearabby,1,1,,0.91201246
It's fine to ask someone for money over Twitter.,It's fine to ask someone for money over Twitter.,asking someone for money over Twitter.,I've sent money to two different girls on twitter,societal-conventional,low_agreement,1,0,5-25%,confessions,1,1,,0.91201246
It is normal to occasionally fall off a bike.,It is normal to occasionally fall off a bike.,occasionally falling off a bike.,Bill fell off his bike and twisted his arm.,societal-conventional,low_agreement,1,0,5-25%,rocstories,1,1,,0.91201246
Women are expected to support the feminist movement.,Women are expected to support the feminist movement.,supporting the feminist movement as a woman,"As a woman, I hate feminism",societal-conventional,low_agreement,1,0,5-25%,confessions,1,1,,0.91201246
It's weird to drink from a bottle when you can use cups.,It's weird to drink from a bottle when you can use cups.,drinking from a bottle when you can use cups.,I stopped drinking powdered milk from a bottle at age 9,societal-conventional,low_agreement,1,-1,5-25%,confessions,1,1,,0.91201246
You shouldn't wear leopard-patterned clothes because they are tacky.,You shouldn't wear leopard-patterned clothes because they are tacky.,wearing tacky leopard-patterned clothes,Fashion Police Are Overheard Criticizing Woman's Leopard Tights,societal-conventional,low_agreement,1,-1,5-25%,dearabby,1,1,,0.91201246
It's understandable if you quit when you are scared to fail.,It's understandable if you quit when you are scared to fail.,quitting when you are scared to fail.,Finishing one small goal gives me so much satisfaction that I quit.,societal-conventional,low_agreement,1,0,5-25%,rocstories,1,1,,0.91201246
It's understandable to switch places with your identical twin for work.,It's understandable to switch places with your identical twin for work.,switching places with your identical twin for work.,My identical twin brother works my office job as if he were me.,societal-conventional,low_agreement,0,0,<1%,confessions,1,1,,0.91201246
It's okay to carry your pet in public as a status symbol,It's okay to carry your pet in public as a status symbol.,carrying your pet in public as a status symbol,Hannah carried her small dog with her.,societal-conventional,low_agreement,1,0,5-25%,rocstories,1,1,,0.91201246
It's normal for people to want to protest unjust actions by their governments.,It's normal for people to want to protest unjust actions by their governments.,wanting to protest unjust government actions.,Non-Autocratic Governments Should Work With gaming Companies To Flood Chinese Markets With Illegal Copies If They Censor Games,societal-conventional,low_agreement,1,0,5-25%,confessions,1,1,,0.91201246
It is unreasonable to expect guests to travel a great distance for a wedding.,It is unreasonable to expect guests to travel a great distance for a wedding.,expecting guests to travel a great distance for a wedding.,"not wanting to go to SIL's destination wedding, even when we can afford it",societal-conventional,medium_agreement,2,-1,50%,amitheasshole,1,1,,0.9114956
It's fun to play with toys even if you're an adult.,It's fun to play with toys even if you're an adult.,playing with toys even if you're an adult.,I'm 40 years old and I just bought my first Lego set,societal-conventional,medium_agreement,2,1,50%,confessions,1,1,,0.9114956
"You should tell people when you don't like their hairstyle, even if it hurts their feelings.","You should tell people when you don't like their hairstyle, even if it hurts their feelings.","telling people when you don't like their hairstyle, even if it hurts their feelings.",I hate my husband's hairstyle,societal-conventional,medium_agreement,2,0,50%,confessions,1,1,,0.9114956
Men see providing for their family as their responsibility,Men see providing for their family as their responsibility,Men seeing providing for their family as their responsibility,Mac had a family that he had to feed and needed a job.,societal-conventional,medium_agreement,2,0,50%,rocstories,1,1,,0.9114956
It's bad to oversleep in the morning.,It's bad to oversleep in the morning.,oversleeping in the morning.,I didn't hear my alarm clock one morning.,societal-conventional,medium_agreement,2,-1,50%,rocstories,1,1,,0.9114956
Dating a co-worker could create conflicts of interest with your work and your boss.,Dating a co-worker could create conflicts of interest with your work and your boss.,dating a co-worker creating conflicts of interest with your work and your boss,I slept with my coworker and I'm pretty sure he hates me.,societal-conventional,medium_agreement,2,0,50%,confessions,1,1,,0.9114956
It is expected that you tip 10% for bad or regular service.,It is expected that you tip 10% for bad or regular service.,tipping 10% for bad or regular service.,"tipping 10% for bad to regular service, 15% for good service and 20% for extraordinary service",societal-conventional,medium_agreement,2,0,50%,amitheasshole,1,1,,0.9114956
It's expected that you'll be respectful of other people's religions.,It's expected that you'll be respectful of other people's religions.,being respectful of other people's religions,"Every time I see a woman in a niqab or burqa, I like to imagine I’m Harry Potter confronting a Dementor and say: “Expecto Patronum!”",societal-conventional,medium_agreement,2,0,50%,confessions,1,1,,0.9114956
It's expected that multiple generations of family will route for the same  sports team.,It's expected that multiple generations of family will root for the same sports team.,expecting that multiple generations of family will route for the same  sports team.,Dave and his father always went to the opening game together.,societal-conventional,medium_agreement,2,0,50%,rocstories,1,1,fixed root,0.9114956
It's good to get back at a cheating partner.,It's good to get back at a cheating partner.,getting back at a cheating partner.,Wife's Payback for Cheating Husband Isn't Worth the Price,societal-conventional,medium_agreement,2,0,50%,dearabby,1,1,,0.9114956
