rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area
It's commendable to hold others accountable for their wrongs.,holding others accountable for their wrongs.,She'd point out to all the other kids when they were wrong.,moral,medium_agreement,2.0,2.0,50%,rocstories
You shouldn't get back at racists.,getting back at racists.,I love trolling racist,moral,medium_agreement,2.0,-1.0,50%,confessions
It's wrong to keep secrets.,keeping secrets.,A few things I’ve never told anyone,moral,medium_agreement,2.0,-2.0,50%,confessions
It is wrong to separate People based on gender,separating People based on gender,Taliban Hears Outcry Against Afghanistan's Gender Apartheid,moral,medium_agreement,2.0,-1.0,50%,dearabby
It is ok to offer your opinion to people close to you about their future.,offering your opinion to people close to you about their future.,telling a classmate to reconsider her career in medicine,moral,medium_agreement,2.0,0.0,50%,amitheasshole
You shouldn't pay attention to people you don't need to.,paying attention to people you don't need to.,ignoring a homeless man,moral,medium_agreement,2.0,0.0,50%,amitheasshole
It's good to take responsibility for your mistakes.,taking responsibility for your mistakes.,Should I turn myself in?,moral,medium_agreement,2.0,1.0,50%,confessions
You should take back things for a refund if you don't want them.,taking back things for a refund if you don't want them.,Hank took him back to the store for a refund.,moral,medium_agreement,2.0,0.0,50%,rocstories
You should always give money to your church.,always giving money to your church.,not giving money to the church,moral,high_agreement,3.0,2.0,75-90%,amitheasshole
It's bad to be racist.,being racist.,Jane didn't hide how racist she was.,moral,high_agreement,4.0,-1.0,>99%,rocstories
It is unacceptable to put other people in bad situations.,putting other people in bad situations.,getting my roommate kicked out of our house,moral,high_agreement,3.0,-2.0,75-90%,amitheasshole
It's expected that you be a responsible parent.,being a responsible parent.,showing my 2 year old daughter a giant anaconda eating a bunny,moral,high_agreement,4.0,0.0,>99%,amitheasshole
It's hurtful to distance yourself from your best friend.,distancing yourself from your best friend.,distancing myself from my best friend,moral,high_agreement,3.0,-1.0,75-90%,amitheasshole
It's fun to go out fishing with your grandparents.,going out fishing with your grandparents.,Timmy's grandfather took him fishing for the first time.,moral,high_agreement,3.0,1.0,75-90%,rocstories
It's wrong to think that Groundhog Day is about murdering groundhogs.,thinking that Groundhog Day is about murdering groundhogs.,i thought people murdered groundhogs on groundhog day.,moral,high_agreement,3.0,-1.0,75-90%,confessions
People are expected to love their family.,loving your family,I hate my sister to the point I hate myself,moral,high_agreement,3.0,0.0,75-90%,confessions
It's wrong to look at someone else's screen.,looking at someone else's screen.,I'm a screen looker,moral,high_agreement,3.0,-1.0,75-90%,confessions
It's bad to do something that hurts a baby.,doing something that hurts a baby.,I like to pinch strangers babies when they're not looking,moral,high_agreement,4.0,-2.0,>99%,confessions
You shouldn't be friends with someone who betrays your other friend.,being friends with someone who betrays your other friend.,continuing to be friends with someone who falsely accused my closer friend of something serious,moral,high_agreement,3.0,-1.0,75-90%,amitheasshole
You shouldn't date women you know will annoy your ex after a divorce.,dating women you know will annoy your ex after a divorce.,Ex Husband's Taste in Women Tests First Wife's Tolerance,moral,high_agreement,3.0,-1.0,75-90%,dearabby
It's bad to watch people undress without their permission,watching people undress without their permission,I want to add a hidden camera in the female change room,moral,high_agreement,3.0,-1.0,75-90%,confessions
It is good to care for others.,caring for others.,"I could’ve saved someone’s life, but didn’t.",moral,high_agreement,4.0,0.0,>99%,confessions
"If you borrow someone's car and damage it, you should pay for the repairs.",paying for the repairs when you borrow someone's car and damage it,wanting my roommate to pay for my sideview mirror,moral,high_agreement,4.0,1.0,>99%,amitheasshole
You should always pay for someone's service.,paying for someone's service.,The restaurant decided not to charge them at all for their meal.,moral,high_agreement,4.0,0.0,>99%,rocstories
It is rude to control other people.,controlling other people.,not allowing my partner and son to have dog,moral,high_agreement,3.0,-1.0,75-90%,amitheasshole
It's bad to let your temper rise.,letting your temper rise,New Neighbors' Modesty Raises Temperature of Hot Tub Guests,moral,high_agreement,3.0,-1.0,75-90%,dearabby
You shouldn't have an affair.,Having an affair.,I’m having a three day affair,moral,high_agreement,3.0,-2.0,75-90%,confessions
You shouldn't leave someone because of something minor.,leaving someone because of something minor.,telling my boyfriend if he doesn't stop playing video games then I'm leaving him,moral,high_agreement,3.0,-1.0,75-90%,amitheasshole
You should not use violence to solve problems,using violence to solve problems,I punched some middle-aged man and his wife in the face - in revenge for their plotting,moral,high_agreement,3.0,-2.0,75-90%,confessions
It's allowed to lean on a partner emotionally to try to cope with a crisis.,leaning on a partner emotionally to try to cope with a crisis.,Couple Struggles to Cope With Children's Murder,moral,high_agreement,4.0,0.0,>99%,dearabby
It's good to apologize when you've mistreated someone.,apologizing when you've mistreated someone.,I have behaved terribly with my roommate and I don't know what to do,moral,high_agreement,4.0,1.0,>99%,confessions
It is wrong to not get someone help if they are going through serious depression.,not getting someone help when they are going through serious depression.,"Our friend said on FB that her son was depressed, being an athlete.",moral,high_agreement,3.0,-1.0,75-90%,rocstories
It is bad to be controlling of your significant other,being controlling of your significant other,being upset that my boyfriend keeps going on international trips to visit another woman,moral,high_agreement,3.0,-1.0,75-90%,amitheasshole
It's rude not to give someone a place to stay when you can spare a room.,not to giving someone a place to stay when you can spare a room.,She offered to put them up for the night.,societal-conventional,low_agreement,1.0,-1.0,5-25%,rocstories
It's bad to have to buy movie tickets.,having to buy movie tickets.,Early Birds Get Stuck Buying Movie Tickets,societal-conventional,low_agreement,1.0,-1.0,5-25%,dearabby
"It is important to cheer for the winners in a game, even if you don't like them.","cheering for the winners in a game, even if you don't like them.","In addition, Our team-lost when he scored a three-pointer.",societal-conventional,low_agreement,1.0,1.0,5-25%,rocstories
It's okay if you are tired at work if you want to ask to go home.,wanting to ask to go home if you are tired at work,asking to go home early instead of taking a second break,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
You shouldn't do things without your sibling's permission.,doing things without your sibling's permission.,using my twin sister's pic on Tinder,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
It's wrong not to invite your aunt to your birthday party.,not inviting your aunt to your birthday party.,not inviting my aunt to my 16th Birthday Party,societal-conventional,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's okay to be jealous about a partners past loves,being jealous about a partners past loves,Ex-Wife Is Annoyed by Man's Ex-Girlfriend,societal-conventional,low_agreement,1.0,0.0,5-25%,dearabby
People are expected to cut ties with their exes.,People cutting ties with their exes.,deleting his ex' contact number in his phone,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
It's understandable if you order a lot of food when your parents take you out for dinner.,ordering a lot of food when your parents take you out for dinner.,Last weekend they took Josh out to dinner after the game.,societal-conventional,low_agreement,1.0,0.0,5-25%,rocstories
It's good to observe your crush from a distance.,observing your crush from a distance,"One day, she caught him spying on her through her window.",societal-conventional,low_agreement,1.0,0.0,5-25%,rocstories
You shouldn't have your partner over when you have your friend over at your house.,having your partner over when you have your friend at your house,staying @ bros apartment for the night and he says his booty call is coming over. I tell him no,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
You don't have to help out your parents if you don't feel like it.,helping out your parents if you don't feel like it.,not wanting to help out my dad and his wife,societal-conventional,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's good to patrol areas.,patroling areas.,"While sitting in his patrol, Carl heard a tiny knock at the  car door.",societal-conventional,low_agreement,1.0,1.0,5-25%,rocstories
You shouldn't get drunk around your friends.,getting drunk around your friends.,getting my friend drunk,societal-conventional,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's okay to keep your first husband's name when you remarry.,keeping your first husband's name when you remarry.,Bride-To-Be Wants To Keep First Husband's Name,societal-conventional,low_agreement,1.0,0.0,5-25%,dearabby
It's acceptable to be unemployed.,being unemployed.,Unemployed Eldest Child Feels Trapped in Parents' Basement,societal-conventional,low_agreement,1.0,0.0,5-25%,dearabby
It's expected that you divorce someone your are married to.,divorcing someone your are married to.,"Favorite Hairdresser Divorces Her Husband, Not His Cousin",societal-conventional,low_agreement,1.0,0.0,5-25%,dearabby
"It's good to call someone you are close to ""nanny.""",Calling someone you are close to nanny,"She started calling her ""Nanny"".",societal-conventional,low_agreement,1.0,0.0,5-25%,rocstories
You shouldn't wear leopard-patterned clothes because they are tacky.,wearing tacky leopard-patterned clothes,Fashion Police Are Overheard Criticizing Woman's Leopard Tights,societal-conventional,low_agreement,1.0,-1.0,5-25%,dearabby
It's wrong to let your partner move in with you if you aren't married.,letting your partner move in with you if you aren't married.,not wanting my girlfriend to move in with me,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
It is okay to go to a funeral and whatever you have,going  to a funeral in whatever you have,Mourner Is Castigated For Not Wearing Black To Funeral,societal-conventional,low_agreement,1.0,0.0,5-25%,dearabby
You shouldn't expect your kids to help you out with your animals.,expecting your kids to help you out with your animals.,not helping my mother take care of her horses,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
You should always wear pants.,wearing pants.,I put my pants on and it felt great.,societal-conventional,low_agreement,1.0,0.0,5-25%,rocstories
You shouldn't remove someone from your Netflix account when they've gotten accustomed to using it.,removing someone from your Netflix account when they've gotten accustomed to using it.,taking my mom off my Netflix account,societal-conventional,low_agreement,1.0,-1.0,5-25%,amitheasshole
It is ok to ask for help if you need help parking.,asking for help if you need help parking.,needing help to park my vehicle,societal-conventional,low_agreement,1.0,0.0,5-25%,amitheasshole
You should always be honest with your wife.,being honest with your wife,Abby knew her husband was hiding something.,societal-conventional,medium_agreement,2.0,0.0,50%,rocstories
You shouldn't laugh at inappropriate things.,laughing  at inappropriate things.,laughing at Survival Sex,societal-conventional,medium_agreement,2.0,0.0,50%,amitheasshole
It's expected t hat you marry earlier in life.,marrying earlier in life.,Happy Husband Finds Love Late In Life,societal-conventional,medium_agreement,2.0,0.0,50%,dearabby
It's rude to talk in another language to someone who doesn't understand it.,talking in another language to someone who doesn't understand it.,I was insulted in another language: I’m bilingual,societal-conventional,medium_agreement,2.0,-1.0,50%,confessions
It's not okay to talk about how a mother raises her child.,Talking about how a mother is raising her child.,New Mom Peeved by Strangers' Presumptuous Questions About Breastfeeding,societal-conventional,medium_agreement,2.0,-1.0,50%,dearabby
You shouldn't judge your peers when they prefer parties to studying.,judging your peers when they prefer parties to studying.,Hard Working Freshman Is Adrift in a Sea of Partyers,societal-conventional,medium_agreement,2.0,-1.0,50%,dearabby
Servers are expected to refrain from showing emotion to the customers.,Servers refraining from showing emotion to the customers.,"Although he was the best server, he felt nervous.",societal-conventional,medium_agreement,2.0,0.0,50%,rocstories
It's wrong to date someone when you're their boss.,dating someone when you're their boss.,I'm sleeping with my subordinate that is 20 years younger.,societal-conventional,medium_agreement,2.0,-1.0,50%,confessions
You're discouraged from being intimate with someone you've divorced.,being intimate with someone you've divorced.,Wanted my ex-wife to be the last woman i made love to,societal-conventional,medium_agreement,2.0,-1.0,50%,confessions
It's wrong not to share your things with others.,not sharing your things with others.,not letting my cousin use my game account,societal-conventional,medium_agreement,2.0,-1.0,50%,amitheasshole
It's okay to feed the ducks for fun.,feeding the ducks for fun.,Mike was feeding ducks at a pond near his apartment.,societal-conventional,medium_agreement,2.0,0.0,50%,rocstories
It's expected that siblings drift apart as they grow and move.,siblings drifting apart when growing and moving,Graduation Threatens to End Sisters' Everyday Closeness,societal-conventional,medium_agreement,2.0,0.0,50%,dearabby
It's allowed to have a crush on the same person that someone else does.,having a crush on the same person that someone else does.,Bob and Joe both had a crush on Patty.,societal-conventional,medium_agreement,2.0,0.0,50%,rocstories
When you start dating someone you are expected to honestly talk about whether you want kids or not.,Talking honestly with someone you start dating about whether you want kids or not.,I don’t want kids but I lied about it,societal-conventional,medium_agreement,2.0,1.0,50%,confessions
It's okay if you are emotionally attached to your ex's family.,being emotionally attached to your ex's family.,continuing to have a relationship with my Ex's kid,societal-conventional,medium_agreement,2.0,0.0,50%,amitheasshole
It's good to tell your roommate how you are feeling when you are frustrated with them.,telling your roommate how you are feeling when you are frustrated with them.,saying my roommates boyfriend couldn't stay over two nights in a row,societal-conventional,medium_agreement,2.0,1.0,50%,amitheasshole
It is bad to take a picture of someone without theie conesnt.,taking a picture of someone without their consent,I took pictures of a cute guy when he wasn’t looking.,societal-conventional,medium_agreement,2.0,-1.0,50%,confessions
It's not okay to turn down a gift someone gave you.,turning down a gift someone gave you.,declining an all-expense paid trip with my parents,societal-conventional,medium_agreement,2.0,-1.0,50%,amitheasshole
It's expected you get into a fight if you're being racist around people,getting into a fight if you're being racist around people,I say the N-word without the N-pass,societal-conventional,medium_agreement,2.0,0.0,50%,confessions
You shouldn't always trust children.,always trusting children.,She decided she would just pretend to play the trumpet.,societal-conventional,medium_agreement,2.0,-1.0,50%,rocstories
It's bad to start relationships in the workplace.,starting relationships in the workplace.,I'm married and I want to bang a hot coworker who is into me,societal-conventional,medium_agreement,2.0,-1.0,50%,confessions
It's unacceptable to call someone by an embarrassing pet name in public.,calling someone by an embarrassing pet name in public.,One day he began calling me his princess.,societal-conventional,medium_agreement,2.0,0.0,50%,rocstories
It's ok to run to your closet when you want to get something from it.,running to your closet when you want to get something from it.,"John ran to his closet, looking for a clean shirt.",societal-conventional,medium_agreement,2.0,0.0,50%,rocstories
It's wrong to want your girlfriend to leave.,wanting your girlfriend to leave.,I can't wait for my girlfriend to leave,societal-conventional,medium_agreement,2.0,0.0,50%,confessions
You should never intentionally hurt another person,intentionally hurting another person,Helpful Note Becomes Hurtful When Delivered Annonymously,societal-conventional,medium_agreement,2.0,-2.0,50%,dearabby
It's good to earn your own money.,earning your own money.,Her parents said she needed to work for it.,societal-conventional,high_agreement,4.0,1.0,>99%,rocstories
You should always practice proper drive-by etiquette.,practicing proper drive-by etiquette.,Couple Clashes Over Drive-By Etiquette,societal-conventional,high_agreement,4.0,1.0,>99%,dearabby
You should try to get along with your co-workers.,trying to get along with your co-workers.,snapping at my co-worker,societal-conventional,high_agreement,3.0,1.0,75-90%,amitheasshole
You have right to ask neighbors not to disturb your peace and quiet.,asking neighbors not to disturb your peace and quiet.,asking my neighbor ( who is also my ex ) to keep the sex noises down,societal-conventional,high_agreement,4.0,0.0,>99%,amitheasshole
It's rude to throw things.,throwing things,She got too excited and threw her remote.,societal-conventional,high_agreement,3.0,-1.0,75-90%,rocstories
It's good to involve your family with wedding planning.,involving your family with wedding planning.,telling my mom that if she commented on my weight again that I'd cancel my wedding and just elope,societal-conventional,high_agreement,3.0,0.0,75-90%,amitheasshole
It is wrong to allow dogs to escape from their enclosures.,allowing dogs to escape from their enclosures.,I open people's gates to let their dogs out in traffic.,societal-conventional,high_agreement,3.0,-2.0,75-90%,confessions
You should support other people's cake day.,supporting other people's cake day.,I hate people who say happy cake day,societal-conventional,high_agreement,3.0,0.0,75-90%,confessions
It's good to stand up for your beliefs.,standing up for your beliefs.,I'm a strong pro-jewish supporter,societal-conventional,high_agreement,4.0,1.0,>99%,confessions
You should always dress appropriately for the situation.,dressing appropriately for the situation.,Whenever she was out with friends she would dress down.,societal-conventional,high_agreement,4.0,0.0,>99%,rocstories
It's good to want to present yourself well.,wanting to present yourself well.,"Joan arrived, but hated her dress.",societal-conventional,high_agreement,4.0,0.0,>99%,rocstories
It's understandable if you don't want rodents in the house.,not wanting rodents in the house.,He let the trapped mice free outside of his house.,societal-conventional,high_agreement,4.0,0.0,>99%,rocstories
You shouldn't expect your ex to remain friends with you.,expecting your ex to remain friends with you.,not being friends with a woman I'm not over,societal-conventional,high_agreement,3.0,-1.0,75-90%,amitheasshole
It's good to go out and have fun with your kids.,going out and having fun with your kids.,Barney had tickets to take his dad to a USC football game.,societal-conventional,high_agreement,4.0,1.0,>99%,rocstories
It is expected some people want a specific kind of car.,wanting a specific kind of car.,She finally found a car that she really liked.,societal-conventional,high_agreement,3.0,0.0,75-90%,rocstories
You shouldn't get into trouble in class.,getting into trouble in class.,I got into trouble for calling a TA in one of my classes a “boy”,societal-conventional,high_agreement,3.0,-1.0,75-90%,confessions
It's good to stay home while sick so you don't expose others to your illness.,staying home while sick so you don't expose others to your illness.,"During my sick days, I missed a test.",societal-conventional,high_agreement,3.0,1.0,75-90%,rocstories
You should be mindful of people trying to sleep.,being mindful of people trying to sleep.,showering late at night next to a sensitive sleeper's room,societal-conventional,high_agreement,4.0,1.0,>99%,amitheasshole
It's okay to chose what events you go to.,Choosing what events you go to.,Gay Brother Takes a Stand by Boycotting Man's Wedding,societal-conventional,high_agreement,4.0,0.0,>99%,dearabby
You shouldn't get rid of someone's belongings without their permission.,getting rid of someone's belongings without their permission.,packing up my stbx-roommate's things,societal-conventional,high_agreement,4.0,-1.0,>99%,amitheasshole
Friends are expected to work out their problems instead of cutting ties with each other.,Friends working out their problems instead of cutting ties with each other.,"To all my ""old"" friends. I'm sorry. I wish things ended differently",societal-conventional,high_agreement,3.0,0.0,75-90%,confessions
It's okay to dislike things that are popular.,disliking things that are popular.,I hate grilled cheese sandwiches,societal-conventional,high_agreement,3.0,0.0,75-90%,confessions
It's normal for people to want their loved ones to be happy.,wanting your loved ones to be happy.,I tell everybody everything is alright and I'm super happy,societal-conventional,high_agreement,4.0,0.0,>99%,confessions
It's bad to hate babies.,Hating babies.,"I really, REALLY hate babies",societal-conventional,high_agreement,3.0,-1.0,75-90%,confessions
It's weird to attribute human emotions to inanimate objects.,attributing human emotions to inanimate objects.,I think I’m in love with a wall clock,societal-conventional,high_agreement,4.0,-1.0,>99%,confessions
It is loving to allow your wife to wear whatever she wants in the bedroom.,allowing your wife to wear whatever she wants in the bedroom.,wanting my wife to wear lingerie in the bedroom,personal-psychological,low_agreement,1.0,1.0,5-25%,amitheasshole
It's encouraged you seek someone out to fill the role of a parent you're missing,seeking someone out to fill the role of a parent you're missing,I wish I had a Mom.,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
You should keep your inner child on a leash.,keeping your inner child on a leash,Unleashing my inner child,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
It's good to write out your thoughts as they occur so you can go back to them later.,writing out your thoughts as they occur so you can go back to them later.,Bill decided to just begin typing his thoughts as they occurred.,personal-psychological,low_agreement,1.0,1.0,5-25%,rocstories
You should tell your parent that you know their secret.,telling your parent that you know their secret,My mom thinks I don't know but I do...,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
Just because someone is your parent does not mean you are supposed to enjoy time with them.,enjoying spending time with someone just because they're your parent,not wanting to sit with my dad in the car,personal-psychological,low_agreement,1.0,0.0,5-25%,amitheasshole
It's important to keep your future in mind when you feel lucky.,keeping your future in mind when you feel lucky.,severely paying the deficit price today for luck I used up over the weekend.,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
It is dramatic to run to the doctor everytime your child feels sick.,running to the doctor every time your child feels sick.,Her mother decided to take her to the doctor to make sure she was ok.,personal-psychological,low_agreement,1.0,-1.0,5-25%,rocstories
If your sister is not able to take care of her kids on her own and you no longer want to do it you need to find someone else to take care of them.,finding someone to take of your sister's kids when she is unable to take care of her kids on her own and you no longer want to do it,not wanting to take care of my sister's kids,personal-psychological,low_agreement,1.0,0.0,5-25%,amitheasshole
It is polite to explain your feelings if telling someone I love you for the first time.,explaining your feelings if telling someone I love you for the first time,"not saying ""I love you"" back",personal-psychological,low_agreement,1.0,1.0,5-25%,amitheasshole
It's okay to realize your feelings for someone when they're ill.,realizing your feelings for someone when they're ill.,UPDATE: I realized I caught feelings because she's in the hospital,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
You should always try to mediate your parent's arguments.,always trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1.0,0.0,5-25%,dearabby
It's okay to ask a friend to go on a romantic cruise with you.,asking a friend to go on a romantic cruise with you.,I’m afraid my feelings would ruin the friendship,personal-psychological,low_agreement,1.0,0.0,5-25%,confessions
You shouldn't tell others about your sexual identity.,telling others about your sexual identity.,not telling my grandpa I am transgender,personal-psychological,low_agreement,1.0,0.0,5-25%,amitheasshole
Letting your GF's sister know how you truly feel is the best way to go.,Letting your GF's sister know how you truly feel,"telling my GF's sister not to touch my newborn son because she insulted him, me, and my gf",personal-psychological,low_agreement,1.0,1.0,5-25%,amitheasshole
It's okay to ask questions about your friend's new ear.,asking questions about your friend's new ear.,Soon Karin had a new ear and was playing happily with her friends.,personal-psychological,low_agreement,1.0,0.0,5-25%,rocstories
It is gross to sleep with your stepsisters best friend.,sleep with your stepsisters best friend.,sleeping with my stepsister's friend,personal-psychological,low_agreement,1.0,-1.0,5-25%,amitheasshole
Depriving others of sharing pictures with you leads to hurt feelings and should be avoided.,Depriving others of sharing pictures with you leads to hurt feelings,asking others not to post my photos on fb,personal-psychological,low_agreement,1.0,-1.0,5-25%,amitheasshole
It is good to deny an overweight child snacks.,denying an overweight child snacks.,not giving my overweight son a donut,personal-psychological,low_agreement,1.0,-1.0,5-25%,amitheasshole
