rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,personal_valid
It's bad to be too young.,being too young.,"I was too young, way too young.",moral,low_agreement,1,-1,5-25%,confessions,0
It's not okay to not show someone that you are sincere.,not showing someone that you are sincere.,Well-Written Thank-Yous Don't Have to Be Long Compositions,moral,low_agreement,1,-1,5-25%,dearabby,0
It's rude to tell your kids what to do.,telling your kids what to do.,Danny told his kids to get in the car.,moral,low_agreement,0,-1,<1%,rocstories,0
"If you see a snake, you should be careful not to run over it with your mower.",being careful not to run over a snake with your mower when you see one,"It was a black snake, so I halted the mower and let it slither away.",moral,low_agreement,1,0,5-25%,rocstories,0
It's not okay for parents to be emotionally attached to their kids personal lives.,being emotionally attached to your kids personal lives.,Matchmaking Mom Wants Son's Gal Pal in the Family,moral,low_agreement,1,-1,5-25%,dearabby,0
It's rude to swipe away from someone's post when they don't understand webdesign.,swiping away from someone's post when they don't understand webdesign.,I instantly swipe away from posts if I read &amp;nbsp; because I took webpage design classes and if it works you shouldn’t be able to see it.,moral,low_agreement,1,-1,5-25%,confessions,0
It's okay to say the n word if it's in a textbook.,saying the n word when it's in a textbook.,believing that I should be able to say the n word if I'm reading it from a school-issued book,moral,low_agreement,1,0,5-25%,amitheasshole,0
It's normal to do stupid things when you're drunk,doing stupid things when you're drunk,Wrote a Drunken Letter to my Ex,moral,low_agreement,1,-1,5-25%,confessions,0
It's okay to think people should waste resources when others could use them.,thinking people should waste resources when others could use them.,believing people shouldn't use the elavator for only 1 floor,moral,low_agreement,1,0,5-25%,amitheasshole,0
It's good to have an exotic pet to call your own.,having an exotic pet to call your own,"Aiden was happy with his turtle, but not the extra chores.",moral,low_agreement,1,0,5-25%,rocstories,0
It's bad to break up with people.,breaking up with people.,I recently broke up with the girl I was planning to marry.,moral,low_agreement,1,-1,5-25%,confessions,0
It's okay to dislike fat people.,disliking fat people.,I'm kind of racist to fat people,moral,low_agreement,1,0,5-25%,confessions,0
Tipping is technically optional and the person is usually paid for their service already.,Tipping,not tipping delivery driver when I assumed the delivery fee was going to him,moral,low_agreement,0,-1,<1%,amitheasshole,0
It's wrong to eat too much cheese since it's bad for you.,eating too much cheese,I chose a burger with my favorite cheese on it.,moral,low_agreement,1,-1,5-25%,rocstories,0
It's good to bring up child abuse that happened in the past.,bringing up child abuse that happened in the past,Revelation of Child Abuse Is Tearing Family Apart,moral,medium_agreement,2,1,50%,dearabby,0
You shouldn't associate with ex's.,associating with ex's.,not being comfortable with my partner talking to his ex-girlfriend/fwb,moral,medium_agreement,2,-1,50%,amitheasshole,0
It's rude to yell at a kid.,yelling at a kid.,yelling at a kid who sits by me,moral,medium_agreement,2,-1,50%,amitheasshole,0
It's bad to not go to a funeral.,not going to a funeral.,My mother chose Disney over my Grandmother's Funeral,moral,medium_agreement,2,-1,50%,confessions,0
It is not okay to tell your partner not to drink just so you have someone sober who can drive you home.,telling your partner not to drink just so you have someone sober who can drive you home.,not letting girlfriend drink on new years,moral,medium_agreement,2,-1,50%,amitheasshole,0
It's not okay to have to take on someone else's responsibilities.,having to take on someone else's responsibilities.,"With Dad out of the Country, Boyfriend Takes on Parenting",moral,medium_agreement,2,0,50%,dearabby,0
It is rude to point out physical differences in people.,pointing out physical differences in people.,telling my short brother that being short is an unattractive trait,moral,medium_agreement,2,-1,50%,amitheasshole,0
It's understandable to feel guilty about your past.,feeling guilty about your past.,I'm evil and bad karma will hit me,moral,medium_agreement,2,0,50%,confessions,0
It is acceptable to kill animals for meat.,killing animals for meat.,Eric drove his knife into the deer.,moral,medium_agreement,2,0,50%,rocstories,0
If you want your relationship to end you should do it yourself rather than waiting for the other person to break up with you.,ending your relationship yourself rather than waiting for the other person to break up with you if you want your relationship to end.,I'm depressed and just want my boyfriend to break up with me,moral,medium_agreement,2,0,50%,confessions,0
It's wrong to have no sympathy for migrants.,having no sympathy for migrants.,I have zero sympathy for these migrants,moral,medium_agreement,2,-1,50%,confessions,0
It's wrong for parents to expect too much of their children,parents expecting too much of their children,Her mother told her she needed to improve her grades.,moral,medium_agreement,2,-1,50%,rocstories,0
You shouldn't clone dinosaurs because that would just cause a lot of problems.,cloning dinosaurs because that would just cause a lot of problems.,We Should Bring Back Dinosaurs With Cloning and Give The a Gene that Gives Them The Ability to Detect and Eat Libtards,moral,medium_agreement,2,-1,50%,confessions,0
It is unacceptable to scream or swear at other people.,screaming or swearing at other people.,screaming (and swearing) at a kid at my school in a lesson,moral,medium_agreement,2,-2,50%,amitheasshole,0
It's wrong to try and get revenge on people,trying to get revenge on people,My ex broke my heart so I got back with him just to lead him on for 3 years and then ghost him.,moral,medium_agreement,2,-1,50%,confessions,0
You shouldn't be noisy in your room because it will bother other people.,being noisy in your room because it will bother other people.,wanting my drumset in my room,moral,medium_agreement,2,-1,50%,amitheasshole,0
It's okay to go somewhere who's just going to take your money.,going somewhere who's just going to take your money,I visited the Verizon store today with my wife.,moral,medium_agreement,2,0,50%,rocstories,0
It's dishonest to seek money from others to do something fun.,seeking money from others to do something fun.,making a Go fund me for an Island Getaway with my brother,moral,medium_agreement,2,-1,50%,amitheasshole,0
"It's okay to be suspicious of someone, even a close partner, if they give you reason to be.","being suspicious of someone, even a close partner, if they give you reason to be.",My wife might be seeing someone else,moral,medium_agreement,2,0,50%,confessions,0
It is bad to be bluntly honest with other people.,being bluntly honest with other people.,calling my friend a attention whore,moral,medium_agreement,2,-1,50%,amitheasshole,0
It's rude to judge someone based on the movies that make them cry.,judging someone based on the movies that make them cry.,"The ending of the movie ""storks"" makes me cry.",moral,medium_agreement,2,-1,50%,confessions,0
It's expected that friends will play jokes on each other.,friends playing jokes on each other.,He was only kidding and they went to the mall.,moral,medium_agreement,2,0,50%,rocstories,0
It's okay to not want to take on extra responsibilities in your life.,not wanting to take on extra responsibilities in your life.,not wanting to vote,moral,medium_agreement,2,0,50%,amitheasshole,0
It is good to fire someone who is constantly making mistakes.,firing someone who is constantly making mistakes.,He was eventually fired because he made so many mistakes.,moral,medium_agreement,2,1,50%,rocstories,0
You shouldn't do things that would make others want to hit you.,doing things that would make others want to hit you.,I wanted to hit a 4 yr old child in my summer camp class.,moral,medium_agreement,2,-1,50%,confessions,0
It's expected that people will give victims their sympathy.,giving victims their sympathy.,I no longer care about mass shootings,moral,medium_agreement,2,0,50%,confessions,0
It's not okay to let others know your secrets.,letting others know your secrets.,A Facebook Confession Page,moral,medium_agreement,2,-1,50%,confessions,0
It's not okay to bother people over things that are unimportant.,bothering people over things that are unimportant.,"One day, she called her grandmother for the recipe.",moral,medium_agreement,2,-1,50%,rocstories,0
You should not let religion get in the way of being a good friend.,letting religion get in the way of being a good friend.,planning to end my friendship with my friend who is getting too religious,moral,medium_agreement,2,-1,50%,amitheasshole,0
You should be supportive when someone wants a baby.,being supportive when someone wants a baby.,I want a baby but I don’t know how to voice it.,moral,medium_agreement,2,0,50%,confessions,0
It's wrong to surpass your friends in their achievements.,surpassing your friends in their achievements,"Eventually, his friends dwarfed against his achievements.",moral,medium_agreement,2,-1,50%,rocstories,0
It's good to give money to people.,giving money to people.,Frank was about to decline until he saw the amount of the check.,moral,medium_agreement,2,1,50%,rocstories,0
It is bad to be negative.,being negative,"Sometimes, I don’t think I’m capable of being romantically loved.",moral,medium_agreement,2,-1,50%,confessions,0
It's wrong to get divorced.,getting divorced.,Woman Stops Short of Trading Amicable Separation for Divorce,moral,medium_agreement,2,-1,50%,dearabby,0
It's none of your business what another coworker does with their time.,concerning yourself with what another coworker does with their time.,getting upset about a coworker working while off the clock/on break,moral,medium_agreement,2,-1,50%,amitheasshole,0
You shouldn't lie to people.,lying to people.,I lied to everyone about why I quit my job.,moral,medium_agreement,2,-1,50%,confessions,0
It's OK to expect a refund when you can't attend an event because a friend got hurt.,expecting a refund when you can't attend an event because a friend got hurt.,asking for my money back when my friend is in hospital,moral,medium_agreement,2,0,50%,amitheasshole,0
It's okay to hurt somebody who's stealing from you,hurting somebody who's stealing from you,I hurt a thief real bad.,moral,medium_agreement,2,0,50%,confessions,0
It's fine to subscribe to quarantined subs.,subscribing to quarantined subs,I Just Subsrcibed To a SHITTON of Quarantined Subs,moral,medium_agreement,2,-1,50%,confessions,0
Being angry at a person is usually unproductive and should be avoided if possible.,Being angry at a person,getting angry at my mom,moral,medium_agreement,2,-1,50%,amitheasshole,0
It is good to provide a home for an animal,providing a home for an animal,Liz knew her parents wanted a puppy.,moral,high_agreement,3,1,75-90%,rocstories,0
It is unacceptable to cheat on your spouse.,cheating on your spouse.,Widow Wades Through Guilt After Unplanned Office Tryst,moral,high_agreement,3,-2,75-90%,dearabby,0
It is reasonable to distance yourself from someone who you do not share values with.,Distancing yourself from someone who you do not share values with.,unfriending someone over a MAGA hat,moral,high_agreement,4,0,>99%,amitheasshole,0
It's good to make something for your significant other.,making something for your significant other.,rejecting a gift my girlfriend was making for me,moral,high_agreement,3,1,75-90%,amitheasshole,0
It's rude to blow off plans that you have with someone,blowing off plans that you have with someone,Sarah waited for her guests but no one arrived.,moral,high_agreement,3,-2,75-90%,rocstories,0
It's concerning when someone bites members of their family.,someone biting members of their family.,being angry when my mom backbites my relatives,moral,high_agreement,4,-1,>99%,amitheasshole,0
It's wrong to cheat on your partner.,cheating on your partner.,Found out my brother is being cheated on,moral,high_agreement,4,-2,>99%,confessions,0
It's not okay to interfere with the way your children want to live their life.,interfering with the way your children want to live their life.,"disowning my mom and dad, over a job",moral,high_agreement,3,-1,75-90%,amitheasshole,0
It is bad to lie to others.,lying to others.,I catfish guys and expose them to their girlfriends,moral,high_agreement,3,-1,75-90%,confessions,0
It is unacceptable to force someone to drink alcohol.,forcing someone to drink alcohol.,"*TW: R*pe, forced intox, public humiliation* I think I need help...",moral,high_agreement,3,-2,75-90%,confessions,0
It's okay to feel guilty if you suspect your friend of stealing.,feeling guilty when you suspect your friend of stealing.,After a long search he became suspicious of his friend.,moral,high_agreement,3,0,75-90%,rocstories,0
It's not okay to be rude to someone when your having a disagreement.,being rude to someone when your having a disagreement.,wanting to tell my roommate I'm done with him and to shove it,moral,high_agreement,3,0,75-90%,amitheasshole,0
You shouldn't be a dangerous person.,being a dangerous person.,The most dangerous person I have ever encountered,moral,high_agreement,4,-2,>99%,confessions,0
It is wrong to be racist,being racist,I was a racist,moral,high_agreement,4,-2,>99%,confessions,0
It's bad to ignore someone that needs your help.,ignoring someone that needs your help.,I feel like a coward every time I walk past a person in need and don't help.,moral,high_agreement,3,-1,75-90%,confessions,0
It's bad to commit crimes that cause you to be put in prison.,Committing crimes that cause you to be put in prison.,Rumor has it that he hypnotized a guard into opening his cell.,moral,high_agreement,4,-2,>99%,rocstories,0
It is bad to pick on children,picking on children,Barb learned a mean teacher was making life miserable for her son.,moral,high_agreement,3,-1,75-90%,rocstories,0
You have a right to expect your husband spend equal time caring for your children.,expecting your husband spend equal time caring for your children.,expecting my husband to take care of the baby sometimes even though he works more than I do,moral,high_agreement,3,0,75-90%,amitheasshole,0
You shouldn't mess up your sibling's things.,messing up your sibling's things.,I just wrote all over my Brothers car windows in soap..,moral,high_agreement,3,0,75-90%,confessions,0
It's good to try to give your pet medicine when they need it.,trying to give your pet medicine when they need it.,One day when his owner tried to give him his medicine he ran away.,moral,high_agreement,4,0,>99%,rocstories,0
It's wrong to lie.,lying.,I lie and tell people I have had boyfriends in the past. I never have. I'm 30.,moral,high_agreement,3,-2,75-90%,confessions,0
You shouldn't let your parents take your money.,letting your parents take your money.,getting angry with my parents for using the money I got from selling my games,moral,high_agreement,3,-1,75-90%,amitheasshole,0
You shouldn't cause people pain.,causing people pain,It took her years to reduce the pain they cause her.,moral,high_agreement,4,-1,>99%,rocstories,0
It's good to do  things to bring up peoples spirits.,doing things to bring up peoples spirits.,At the conference they had prophetic words and one was about me.,moral,high_agreement,3,1,75-90%,rocstories,0
You shouldn't sell drugs.,selling drugs.,ghosting my weed dealer,moral,high_agreement,4,-2,>99%,amitheasshole,0
You shouldn't do unforgivable things to your significant other.,Doing unforgivable things to your significant other.,It's been 3 years of relationship and I still can't forgive my boyfriend for what he did.,moral,high_agreement,3,-1,75-90%,confessions,0
It is good to treat elderly with respect.,treating elderly with respect.,Mother in Law's 'Old Man' Is Too Old for Her Family,moral,high_agreement,4,1,>99%,dearabby,0
You should always share your kids with their partner.,always sharing your kids with their partner.,Boyfriend's Parents Resist Sharing Him on Holidays,moral,high_agreement,4,0,>99%,dearabby,0
It is rude to exclude someone from a group activity.,excluding someone from a group activity.,Woman Is Angry to Be Left Out of Party Planning Loop,moral,high_agreement,3,-1,75-90%,dearabby,0
You shouldn't label others as disabled,labeling others as disabled,"thinking incels, neckbeards and niceguys are disabled",moral,high_agreement,3,-1,75-90%,amitheasshole,0
It's wrong to look at women solely because of their race.,looking at women solely because of their race.,I Think I'm Meant To Breed With An Asian,moral,high_agreement,3,-1,75-90%,confessions,0
You're expected to have a positive work ethic at your job.,having a positive work ethic at your job.,One of her regular customers liked Abigail's work ethic.,moral,high_agreement,3,0,75-90%,rocstories,0
You shouldn't discriminate against people because of their income level.,discriminating against people because of their income level.,I really don't like poor people,moral,high_agreement,3,-1,75-90%,confessions,0
It is wrong to ruin someones chances at employment.,ruining someones chances at employment,sabotaging an old classmate's chances of getting hired at my workplace,moral,high_agreement,4,-2,>99%,amitheasshole,0
It's bad to feel other people are inferior to you.,feeling other people are inferior to you.,Matt thought he was smarter than any of the other students.,moral,high_agreement,4,-1,>99%,rocstories,0
People should offer support to their friends who need it.,Offering support to friends who need it.,The only way I can deal with pain is by passing out and hoping it's not there when I wake up,moral,high_agreement,3,2,75-90%,confessions,0
You shouldn't dump your problems on other people.,dumping your problems on other people.,My big bucket of issues,moral,high_agreement,3,-1,75-90%,confessions,0
It's wrong to lie to people.,Lying to people.,"I say that my dog doesn’t usually like strangers, even though she does.",moral,high_agreement,3,-1,75-90%,confessions,0
It is expected that you will take your children with you when you move.,taking your children with you when you move.,wanting to take my daughter away from my brother when I move out,moral,high_agreement,4,0,>99%,amitheasshole,0
You shouldn't marry someone you don't love.,marrying someone you don't love.,I don’t want to be married to my wife anymore.,moral,high_agreement,3,-1,75-90%,confessions,0
It's good to say things out loud so you remember it.,saying things out loud so you remember it,"Every time she thought something, she had to say it out loud.",societal-conventional,low_agreement,1,0,5-25%,rocstories,0
It's normal to like one of your children more than the other.,liking one of your children more than the other.,I bought an old used phone secretly from my parents.,societal-conventional,low_agreement,0,0,<1%,confessions,0
You should always expect criticism from people for your eating habits.,expecting criticism from people for your eating habits.,Fan of Well-Done Steak Resents Criticism From Table Mates,societal-conventional,low_agreement,1,0,5-25%,dearabby,0
It's not okay to think like a child.,Thinking like a child.,"Sometimes I wish I could take my arms off before I go to bed, somehow hang them up somewhere and reattach them in the morning.",societal-conventional,low_agreement,1,0,5-25%,confessions,0
It's not okay to not appreciate festive weather.,not appreciating festive weather.,I really hate snowy days.,societal-conventional,low_agreement,1,-1,5-25%,confessions,0
You shouldn't expect people to not ask you inappropriate questions.,expecting people to not ask you inappropriate questions.,asking if this guy was a school shooter,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole,0
It's good to get back at a cheating partner.,getting back at a cheating parner,Wife's Payback for Cheating Husband Isn't Worth the Price,societal-conventional,low_agreement,1,-1,5-25%,dearabby,0
It is OK to have one drink at work if no one sees you drinking.,having one drink at work if no one sees you drinking.,drinking at work,societal-conventional,low_agreement,1,0,5-25%,amitheasshole,0
It's bad to leave school without letting someone know where you're going.,leaving school without letting someone know where you're going.,Meredith was walking from school to her school bus.,societal-conventional,low_agreement,1,-1,5-25%,rocstories,0
It's normal for children to sneak out of the house.,children sneaking out of the house.,"When I sneaked out of the house, I thought it would be fun.",societal-conventional,low_agreement,1,0,5-25%,rocstories,0
It's okay to park wherever there's room,parking wherever there's room,Our neighbor Shelley parked out front.,societal-conventional,low_agreement,1,-1,5-25%,rocstories,0
You shouldn't put things in your neighbor's mailboxes.,putting things in your neighbor's mailboxes.,He put fliers in his neighbor's mailboxes offering to mow their lawns.,societal-conventional,low_agreement,1,-1,5-25%,rocstories,0
It's bad to impose upon your parents to provide you a place to live again when you've failed at life.,imposing upon your parents to provide you a place to live again when you've failed at life.,"Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",societal-conventional,low_agreement,1,-1,5-25%,confessions,0
You should always question someone's character when they say something inappropriate.,always questioning someone's character when they say something inappropriate.,Boyfriend's Remark Calls His Character Into Question,societal-conventional,low_agreement,1,0,5-25%,dearabby,0
It is good to get rewarded if someone makes a mistake.,getting rewarded when someone makes a mistake.,"She was able to prove that she was not to blame, and received a bonus.",societal-conventional,low_agreement,1,0,5-25%,rocstories,0
You shouldn't expect society to accept you if you're obese.,expecting society to accept you if you're obese.,"thinking it is good, that society is looking down on obese people",societal-conventional,low_agreement,1,-1,5-25%,amitheasshole,0
You should move your child's grave if you don't like where they are and you have a new place for them to be.,moving your child's grave when you don't like where they are and you have a new place for them to be.,Moving Child's Grave Sparks Buried Anger After 20 Years,societal-conventional,low_agreement,1,1,5-25%,dearabby,0
"It's okay to keep family at a distance, you don't need to let people into your life.",keeping family at a distance,being distant with my mom,societal-conventional,low_agreement,1,0,5-25%,amitheasshole,0
You shouldn't expect your partner to always share in child rearing duties with you.,expecting your partner to always share in child rearing duties with you.,wanting to sleep in while my wife takes care of our baby,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole,0
It's wrong to think that all people are the same.,thinking that all people are the same.,The problem with people who are in the business with understanding other people is that you know too much.,societal-conventional,low_agreement,1,-2,5-25%,confessions,0
It's good to date someone with a fancy car.,dating someone with a fancy car.,GUYS WITH SUPED UP CARS AND EGOS,societal-conventional,low_agreement,1,0,5-25%,confessions,0
You shouldn't have your partner over when you have your friend over at your house.,having your partner over when you have your friend over at your house.,staying @ bros apartment for the night and he says his booty call is coming over. I tell him no,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole,0
It's healthy to tell people when they do something that annoys you.,telling people when they do something that annoys you.,asking my friend to stop giving unsolicited advice,societal-conventional,low_agreement,0,0,<1%,amitheasshole,0
You don't owe a partner an explanation of past relationships.,you owing a partner an explanation of past relationships.,Husband Refuses to Tell Wife Details of Long-Ago Marriages,societal-conventional,low_agreement,0,0,<1%,dearabby,0
It's good not to waste money on diapers.,not wasting money on diapers.,He figured it out and she no longer has to buy diapers.,societal-conventional,low_agreement,1,1,5-25%,rocstories,0
It's not okay to be to close to your siblings.,being too close to your siblings.,She was most excited to see her sister.,societal-conventional,low_agreement,1,-1,5-25%,rocstories,0
You shouldn't ignore someone who likes you.,ignoring someone who likes you.,ghosting a man who's been into me for about two years,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole,0
It's fine to get angry if someone doesn't want to do something you want them to do.,getting angry when someone doesn't want to do something you want them to do,getting offended by my SO's refusal to let me snowblow our driveway,societal-conventional,low_agreement,1,0,5-25%,amitheasshole,0
It's not okay to have to have a phone by you all of the time.,having to have a phone by you all of the time.,Chris grabbed his cellphone and called the police.,societal-conventional,low_agreement,1,-1,5-25%,rocstories,0
Parents should hire professional entertainers for special occasions instead of their children.,hiring professional entertainers for special occasions instead of your children.,refusing to perform at my mother's wedding,societal-conventional,low_agreement,1,1,5-25%,amitheasshole,0
You shouldn't expect your partner to like your engagement ring.,expecting your partner to like your engagement ring.,not liking the engagement ring,societal-conventional,low_agreement,1,-1,5-25%,amitheasshole,0
It's okay to be jealous about a partners past loves,being jealous about a partners past loves,Ex-Wife Is Annoyed by Man's Ex-Girlfriend,societal-conventional,low_agreement,1,0,5-25%,dearabby,0
It's fine to mispronounce timeshare.,mispronouncing timeshare.,"My entire life, I thought that a Timeshare property was pronounced ""Time-chair"".",societal-conventional,low_agreement,1,0,5-25%,confessions,0
You shouldn't be careful about spoiling a show or movie for people if the show or movie is months or years old.,not being careful about spoiling a show or movie for people if the show or movie is months or years old.,I think Tywin lannister is one of the best villains of all time. Fellow GoT fans please no spoilers beyond season 2 if you comment lol I'm very late to the party,societal-conventional,low_agreement,0,0,<1%,confessions,0
People expect children to misbehave in public sometimes.,children misbehaving in public sometimes.,Mom Feels Need To Apologize For Daughter's Lack Of Manners,societal-conventional,low_agreement,1,0,5-25%,dearabby,0
It's okay to think other people should hide who they are.,thinking other people should hide who they are.,I resent my sister for passing as straight,societal-conventional,low_agreement,1,0,5-25%,confessions,0
It's wrong to lurk on websites.,lurking on websites.,lurking on dating apps,societal-conventional,low_agreement,0,-1,<1%,amitheasshole,0
It's fine to not let your girlfriend hang out with your friends if she does something that disrespects your friends.,not letting your girlfriend hang out with your friends if she does something that disrespects your friends.,not wanting my girlfriend to hang out with my friends,societal-conventional,low_agreement,1,0,5-25%,amitheasshole,0
It's good to keep things you own in your room.,keeping things you own in your room.,wanting to keep my roomba in my living room,societal-conventional,low_agreement,1,1,5-25%,amitheasshole,0
You should help someone when they start their own business.,helping someone when they start their own business.,Andy decided that he should open his own landscaping business.,societal-conventional,low_agreement,1,0,5-25%,rocstories,0
You should be able to buy whatever you want,buying whatever you want,"One day, she decided she would buy another doll.",societal-conventional,medium_agreement,2,0,50%,rocstories,0
It's wise to never let yourself get embarrassed by your significant other.,never letting yourself get embarrassed by your significant other.,Man Is Embarrassed When Wife Asks People Their Age,societal-conventional,medium_agreement,2,2,50%,dearabby,0
You shouldn't always believe your kids.,always believing your kids.,He lied to his mom and said he didn't feel well.,societal-conventional,medium_agreement,2,-1,50%,rocstories,0
It is wrong to argue.,arguing,She also argued at me since she told me to buy hood.,societal-conventional,medium_agreement,2,-1,50%,rocstories,0
It's nice to message people on Tinder.,messaging people on Tinder.,"Every time I message a girl on tinder after long thought, minutes after I press send, I suddenly think of a new message that would have been better to send instead.",societal-conventional,medium_agreement,2,0,50%,confessions,0
It's fine to get angry if someone doesn't want to do something you want them to do.,getting angry when someone doesn't want to do something you want them to do.,getting offended by my SO's refusal to let me snowblow our driveway,societal-conventional,medium_agreement,2,0,50%,amitheasshole,0
It's fine to cry if you had a bad day.,crying when you had a bad day.,I was having a really bad day and I went home and I guess my mom could sense it and she came into my room gave me a hug and left. Immediately after she left I just broke down and started crying.,societal-conventional,medium_agreement,2,0,50%,confessions,0
It's allowed to make a mess when masturbating.,making a mess when masturbating.,Anyone else ever nut in their belly button by accident and feel disgusted yet extremely accomplished at the same time?,societal-conventional,medium_agreement,2,0,50%,confessions,0
You should always be presentable for others.,being presentable for others.,Tom wound up looking weird and creepy in his picture.,societal-conventional,medium_agreement,2,1,50%,rocstories,0
It's mean to tell your best friend that they aren't marriage material.,telling your best friend that they aren't marriage material.,Woman's 'Best Friend' May Not Be Marriage Material,societal-conventional,medium_agreement,2,-1,50%,dearabby,0
You shouldn't listen to parents that make you do things you don't want to do.,listening to parents that make you do things you don't want to do.,No Need To Make Children Eat More Than They Want,societal-conventional,medium_agreement,2,0,50%,dearabby,0
You shouldn't speak with a lisp if you don't have one.,speaking with a lisp when you don't have one.,I sometimes hear people speaking with a lisp when they don't have one...,societal-conventional,medium_agreement,2,-1,50%,confessions,0
You shouldn't ride a bike on the sidewalk.,riding a bike on the sidewalk.,biking on the sidewalk and telling a woman off who got mad,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
